canonical_model_id,missing_reason_category,why_no_alpha_beta_ir,may_be_compared_on_performance
airport_transport_cashflow_operating_state_v58,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
airport_transport_franchise_state_v58b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
cement_cycle_aware_ocf_low_vol_v5a9,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
coal_high_dividend_cycle_value_v52,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
consumer_staples_ocf_low_vol_v5a5,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
dividend_low_vol_fcf_basket_v56,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
dividend_ocf_low_vol_basket_v56b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
dividend_ocf_vol_guard_basket_v56c,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
food_beverage_low_vol_diagnostic_v5a5b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
food_beverage_ocf_low_vol_v5a5,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
gas_water_cashflow_dividend_v55a,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
gas_water_collection_debt_guard_v57c,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
gas_water_ocf_dividend_guard_v57a,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
gas_water_true_operating_state_diagnostic_v59,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
highway_cashflow_dividend_v54,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
highway_dividend_operating_state_v54c,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
highway_dividend_reviewed_operating_v54f,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
highway_dividend_segment_purity_v54d,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
highway_dividend_segment_purity_v54e,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
highway_high_dividend_cashflow_diagnostics_v54b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
home_appliances_ocf_low_vol_v5a5,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
home_appliances_ocf_quality_v5a5b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
insurance_low_pb_dividend_v53b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
insurance_low_pb_solvency_guard_v53e,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
insurance_pev_nbv_v53f_diagnostic,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
insurance_value_investment_solvency_v53d,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
insurance_value_quality_v53_test1,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
locked_pool_monthly_mom12_70_30,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
mr_borrow_paired_drop_spike_net0_cap10_next2,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
oil_gas_ocf_dividend_cycle_probe_v58a,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
oil_gas_ocf_low_vol_value_v58b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
oil_gas_state_conditioned_ocf_v58d,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
port_rail_cashflow_dividend_v55a,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
port_rail_cashflow_operating_state_v55b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
pressure_positive_1000_else_1400_buy,execution_only,execution_only_no_strategy_nav_claim,False
telecom_operators_cashflow_dividend_v55a,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
utilities_cashflow_value_v51b,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
utilities_conditional_low_pb_cashflow_v51d,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
utilities_low_pb_cashflow_v51c,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
utilities_value_quality_v51,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v4_bank_candidate1,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_etf_holdings_reference_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_etf_pit_sector_gate_audit,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_forward_paper_handoff,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_no_jq_1234_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5b_no_jq_next_actions,execution_only,execution_only_no_strategy_nav_claim,False
v5b_no_jq_sleeve_promotion,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_non_core_sector_disposition,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_non_core_sector_queue_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5b_telecom_sidecar_attribution,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_telecom_specialist_policy,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5b_three_track_execution,execution_only,execution_only_no_strategy_nav_claim,False
v5b_three_track_execution_plan,execution_only,execution_only_no_strategy_nav_claim,False
v5c_50w_execution_micro_audit,execution_only,execution_only_no_strategy_nav_claim,False
v5c_bank_power_dedicated_book_card_collection,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_power_financial_report_batch_extraction,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_power_financial_report_data_gate,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_power_financial_report_pit_panel,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_power_industry_factor_weight_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_power_single_factor_cross_section_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_power_v5f_attribution,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
v5c_bank_special_mention_pre2021_train_test,diagnostic_only,no_comparable_daily_performance_or_benchmark,False
