canonical_model_id,execution_evidence_status,qmt_no_order_not_fill_evidence
bank_high_dividend_sustainability_v3,no_complete_historical_target_order_fill_position_cash_contract_claim,True
bank_value_15y,no_complete_historical_target_order_fill_position_cash_contract_claim,True
bank_value_quality_v2,no_complete_historical_target_order_fill_position_cash_contract_claim,True
coal_cashflow_cycle_value_v52b,no_complete_historical_target_order_fill_position_cash_contract_claim,True
coal_cashflow_cycle_value_v52b_capex_policy,no_complete_historical_target_order_fill_position_cash_contract_claim,True
dividend_low_vol_ocf_enhanced_etf_v57,no_complete_historical_target_order_fill_position_cash_contract_claim,True
dividend_low_vol_sector_adaptive_etf_v57b,no_complete_historical_target_order_fill_position_cash_contract_claim,True
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,no_complete_historical_target_order_fill_position_cash_contract_claim,True
dividend_low_vol_sector_neutral_etf_v57c,no_complete_historical_target_order_fill_position_cash_contract_claim,True
dividend_low_vol_sector_neutral_etf_v57d,no_complete_historical_target_order_fill_position_cash_contract_claim,True
gas_water_v57b_text_debt_state_guard_v59b,no_complete_historical_target_order_fill_position_cash_contract_claim,True
gas_water_value_serviceability_v57b,no_complete_historical_target_order_fill_position_cash_contract_claim,True
highway_dividend_reviewed_operating_v54g,no_complete_historical_target_order_fill_position_cash_contract_claim,True
highway_dividend_reviewed_operating_v54h_repaired_2021,no_complete_historical_target_order_fill_position_cash_contract_claim,True
home_appliances_ocf_quality_v5a5c,no_complete_historical_target_order_fill_position_cash_contract_claim,True
insurance_low_pb_only_v53c,no_complete_historical_target_order_fill_position_cash_contract_claim,True
insurance_pev_value_v53g,no_complete_historical_target_order_fill_position_cash_contract_claim,True
internal_subsleeve_mom12_70_30,no_complete_historical_target_order_fill_position_cash_contract_claim,True
oil_gas_state_conditioned_ocf_v58g,no_complete_historical_target_order_fill_position_cash_contract_claim,True
port_rail_cashflow_value_operating_diagnostic_v55c,no_complete_historical_target_order_fill_position_cash_contract_claim,True
port_rail_cashflow_value_operating_diagnostic_v55g_repaired_2021,no_complete_historical_target_order_fill_position_cash_contract_claim,True
port_rail_cashflow_value_operating_diagnostic_v55i_business_purity_gate,no_complete_historical_target_order_fill_position_cash_contract_claim,True
port_rail_cashflow_value_operating_diagnostic_v55j_reviewed_business_sources,no_complete_historical_target_order_fill_position_cash_contract_claim,True
utilities_demand_state_v51f,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v57f_startup_preload_repaired_baseline,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_50w_execution_optimization_test,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_defense_overlay_exploration,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_defense_overlay_formal_validation,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_p0_local_data_gate,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_risk_budget_overlay_engineering_comparison,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_sleeve_weighting_diagnostic,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_sleeve_weighting_rigorous_test,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5c_topx_capital_rigorous_test,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5d_l3_intraday_execution_engineering,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5d_minute_execution_robustness,no_complete_historical_target_order_fill_position_cash_contract_claim,True
v5d_order_scheduling_engineering_test,no_complete_historical_target_order_fill_position_cash_contract_claim,True
