event_id,ranked_notice_count,original_notice_context_count,source_pdf_count,review_status,terms_inferred_from_adjustment_factor,usable_for_total_return,accepted
000088.XSHE|2020-08-19,3,17,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
000507.XSHE|2013-03-08,3,19,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
000582.XSHE|2014-06-03,3,4,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
000883.XSHE|2014-09-22,3,5,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
000885.XSHE|2013-04-02,2,3,2,original_notice_terms_and_settlement_adjudication_required,False,False,False
000885.XSHE|2020-08-13,3,14,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
001872.XSHE|2013-07-17,1,1,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
001872.XSHE|2014-07-16,1,1,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
001872.XSHE|2015-07-22,3,1,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
001872.XSHE|2016-07-28,1,2,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
001872.XSHE|2017-08-01,1,2,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
001872.XSHE|2018-05-23,3,2,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
002015.XSHE|2015-06-26,1,3,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
002039.XSHE|2014-05-16,2,2,1,original_notice_terms_and_settlement_adjudication_required,False,False,False
002357.XSHE|2015-09-17,3,3,2,original_notice_terms_and_settlement_adjudication_required,False,False,False
002682.XSHE|2015-07-03,3,9,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
600036.XSHG|2013-09-05,3,12,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
600719.XSHG|2015-11-30,3,3,2,original_notice_terms_and_settlement_adjudication_required,False,False,False
600919.XSHG|2020-12-17,3,3,3,original_notice_terms_and_settlement_adjudication_required,False,False,False
