report_id,title,org_name,industry_name,page_num,pub_time,pub_time_str,view_url,paragraph_hit_count
5389559,主题ETF组合投资研究：以自由现金流ETF（159201）为核心，构筑“跟涨抗跌”优质组合,金融街证券,建筑建材,31,1777305600,2026/04/28/,https://www.fxbaogao.com/view?id=5389559,6
5395729,2025年报&2026一季报点评：业绩稳中有进自由现金流转正提分红,东吴证券,公用事业,3,1777478400,2026/04/30/,https://www.fxbaogao.com/view?id=5395729,5
5325281,2025年报点评自由现金流强劲，分红在高基数上再提升,国泰海通证券,,4,1774800000,2026/03/30/,https://www.fxbaogao.com/view?id=5325281,4
5460725,广发中证800自由现金流ETF投资价值分析：低利率时代下的高现金流选择,国信证券,金融,16,1780416000,2026/06/03/,https://www.fxbaogao.com/view?id=5460725,6
5414442,基金经理投资价值分析报告：华宝基金毛文博：以自由现金流为锚，于周期波动中寻找价值基石,华宝证券,,11,1778515200,2026/05/12/,https://www.fxbaogao.com/view?id=5414442,6
5415880,食品饮料行业报告：从自由现金流看行业复苏趋势,东兴证券,食品饮料,13,1778601600,2026/05/13/,https://www.fxbaogao.com/view?id=5415880,6
5337747,自由现金流和分红比例齐增长,华泰证券,,6,1775491200,2026/04/07/,https://www.fxbaogao.com/view?id=5337747,4
5421725,25年自由现金流大盘点——多行业联合红利资产4月报,华创证券,,80,1778601600,2026/05/13/,https://www.fxbaogao.com/view?id=5421725,6
5398329,1Q26自由现金流同比+89%,华泰证券,,6,1777824000,2026/05/04/,https://www.fxbaogao.com/view?id=5398329,2
5535773,西门子能源Omterra品牌重塑带来结构性自由现金流利润率提升空间,摩根大通,,10,1783958400,2026/07/14/,https://www.fxbaogao.com/view?id=5535773,6
5403117,年报点评：2025年自由现金流同比转正,华泰证券,,6,1777478400,2026/04/30/,https://www.fxbaogao.com/view?id=5403117,2
5385601,——中银中证全指自由现金流ETF投资价值分析：现金流：存量经济下企业经营范式革命,华创证券,,16,1777219200,2026/04/27/,https://www.fxbaogao.com/view?id=5385601,6
5490489,铠侠重估逻辑再审视从周期利润到自由现金流定价20260623,未知机构,,4,1782144000,2026/06/23/,https://www.fxbaogao.com/view?id=5490489,3
5357321,自由现金流同比大幅提升,华泰证券,,6,1776268800,2026/04/16/,https://www.fxbaogao.com/view?id=5357321,4
5342923,自由现金流首次转正，派息率提升至70%,国元国际,,5,1775664000,2026/04/09/,https://www.fxbaogao.com/view?id=5342923,5
5424966,自由现金流系列研究4：港股，现金流有效性高地,财通证券,金融,16,1778688000,2026/05/14/,https://www.fxbaogao.com/view?id=5424966,6
5336991,多行业联合红利资产3月报：谁在买自由现金流 ETF,华创证券,,55,1775404800,2026/04/06/,https://www.fxbaogao.com/view?id=5336991,6
5315410,自由现金流系列研究1：回望现金流元年,财通证券,,16,1774281600,2026/03/24/,https://www.fxbaogao.com/view?id=5315410,6
5405965,自由现金流系列研究3：增长回归重视年化25%+的现金流增强,财通证券,,10,1777996800,2026/05/06/,https://www.fxbaogao.com/view?id=5405965,6
5331359,自由现金流改善，全年股息同比提升3%,国泰海通证券,,5,1774972800,2026/04/01/,https://www.fxbaogao.com/view?id=5331359,4
