trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,26600,0.16,4256.0
2021-05-24,600310.XSHG,17100,0.06,1026.0
2021-06-04,601988.XSHG,21800,0.1576,3435.68
2021-06-04,600017.XSHG,26000,0.028,728.0
2021-06-09,600035.XSHG,23700,0.056,1327.2
2021-06-15,002039.XSHE,4900,0.288,1411.1999999999998
2021-06-17,601288.XSHG,22200,0.14808,3287.3759999999997
2021-06-23,600717.XSHG,17880,0.0688,1230.144
2021-06-25,600168.XSHG,10600,0.0864,915.84
2021-06-25,000900.XSHE,16800,0.128,2150.4
2021-06-25,600106.XSHG,27100,0.0416,1127.36
2021-06-25,600368.XSHG,19300,0.1208,2331.44
2021-06-28,600033.XSHG,26400,0.08,2112.0
2021-06-29,601077.XSHG,17100,0.1776,3036.96
2021-07-02,600018.XSHG,15000,0.1024,1536.0
2021-07-06,601229.XSHG,8700,0.32,2784.0
2021-07-06,601398.XSHG,13800,0.2128,2936.64
2021-07-07,600011.XSHG,17000,0.144,2448.0
2021-07-07,600795.XSHG,29300,0.032,937.6
2021-07-08,003816.XSHE,26700,0.064,1708.8
2021-07-08,601006.XSHG,10800,0.384,4147.2
2021-07-13,601328.XSHG,14600,0.2536,3702.56
2021-07-14,601326.XSHG,26700,0.0512,1367.04
2021-07-15,000429.XSHE,9900,0.2328,2304.7200000000003
2021-07-16,601169.XSHG,14600,0.24,3504.0
2021-07-21,001872.XSHE,4200,0.304,1276.8
2021-07-23,600027.XSHG,20800,0.2,4160.0
2021-07-30,002267.XSHE,10400,0.16,1664.0
2021-08-10,600350.XSHG,11600,0.304,3526.4
2021-08-27,601991.XSHG,27100,0.0728,1972.88
2022-04-25,600681.XSHG,12900,0.2,2580.0
2022-05-13,002807.XSHE,28000,0.144,4031.9999999999995
2022-05-17,001872.XSHE,4600,0.344,1582.3999999999999
2022-05-20,000582.XSHE,9700,0.1472,1427.84
2022-05-27,601228.XSHG,22400,0.0456,1021.44
2022-06-15,600350.XSHG,26100,0.32,8352.0
2022-06-21,002267.XSHE,10600,0.24,2544.0
2022-06-23,600717.XSHG,17000,0.0808,1373.6
2022-06-29,601077.XSHG,29800,0.202,6019.6
2022-06-29,600033.XSHG,48100,0.12,5772.0
2022-06-30,000421.XSHE,13400,0.08,1072.0
2022-07-07,003816.XSHE,26900,0.0672,1807.6799999999998
2022-07-07,000429.XSHE,11900,0.456,5426.400000000001
2022-07-07,601006.XSHG,10100,0.384,3878.4
2022-07-08,601939.XSHG,19900,0.2912,5794.88
2022-07-12,601398.XSHG,25400,0.23464,5959.856
2022-07-15,601169.XSHG,26700,0.244,6514.8
2022-07-15,601288.XSHG,40100,0.16544,6634.144
2022-07-15,601988.XSHG,37200,0.1768,6576.96
2022-07-15,000883.XSHE,14800,0.12,1776.0
2022-07-15,601985.XSHG,10900,0.12,1308.0
2022-07-19,601326.XSHG,23700,0.0448,1061.76
2022-07-20,600012.XSHG,12900,0.44,5676.0
2022-07-29,600886.XSHG,7100,0.1308,928.68
2022-08-26,601298.XSHG,12200,0.20512,2502.464
2023-04-25,600681.XSHG,21300,0.12,2556.0
2023-05-31,600017.XSHG,25800,0.032,825.6
2023-06-15,600350.XSHG,12400,0.32,3968.0
2023-06-16,600035.XSHG,21800,0.112,2441.6
2023-06-19,600956.XSHG,9900,0.1544,1528.5600000000002
2023-06-20,600717.XSHG,17700,0.0616,1090.32
2023-06-28,601825.XSHG,22500,0.2736,6156.0
2023-06-28,600098.XSHG,15700,0.16,2512.0
2023-06-28,001872.XSHE,4100,0.36,1476.0
2023-06-29,601077.XSHG,35300,0.21712,7664.336
2023-07-05,601880.XSHG,56500,0.01392,786.48
2023-07-06,600908.XSHG,22400,0.16,3584.0
2023-07-13,601006.XSHG,11900,0.384,4569.6
2023-07-14,002267.XSHE,14500,0.24,3480.0
2023-07-14,601985.XSHG,16300,0.136,2216.8
2023-07-14,000429.XSHE,9500,0.3424,3252.7999999999997
2023-07-19,600012.XSHG,7000,0.44,3080.0
2023-07-26,600377.XSHG,7500,0.368,2760.0
2023-07-28,600033.XSHG,23600,0.12,2832.0
2023-08-11,600018.XSHG,16900,0.112,1892.8
2023-08-16,000883.XSHE,25100,0.048,1204.8
2024-05-10,002807.XSHE,36700,0.152,5578.4
2024-05-14,000690.XSHE,17600,0.24,4224.0
2024-05-15,600018.XSHG,19300,0.1376,2655.68
2024-05-28,600020.XSHG,26400,0.1192,3146.88
2024-06-07,603323.XSHG,30500,0.144,4392.0
2024-06-07,600035.XSHG,22400,0.152,3404.7999999999997
2024-06-13,000900.XSHE,26700,0.12,3204.0
2024-06-14,601187.XSHG,26300,0.248,6522.4
2024-06-14,600017.XSHG,37800,0.052,1965.6
2024-06-18,000027.XSHE,12400,0.112,1388.8
2024-06-20,600717.XSHG,24100,0.0816,1966.5600000000002
2024-06-25,600350.XSHG,11600,0.336,3897.6000000000004
2024-06-27,601229.XSHG,20500,0.368,7544.0
2024-06-27,600033.XSHG,29500,0.096,2832.0
