trade_date,code,amount,net_cash_per_share,dividend_cash
2022-04-25,600681.XSHG,14300,0.2,2860.0
2022-05-13,002807.XSHE,16100,0.144,2318.3999999999996
2022-05-17,001872.XSHE,4600,0.344,1582.3999999999999
2022-05-20,000582.XSHE,9600,0.1472,1413.12
2022-05-27,601228.XSHG,22200,0.0456,1012.32
2022-06-15,600350.XSHG,13400,0.32,4288.0
2022-06-21,002267.XSHE,11700,0.24,2808.0
2022-06-23,600717.XSHG,16400,0.0808,1325.12
2022-06-29,601077.XSHG,18300,0.202,3696.6000000000004
2022-06-29,600033.XSHG,25100,0.12,3012.0
2022-06-30,000421.XSHE,14600,0.08,1168.0
2022-07-07,003816.XSHE,26800,0.0672,1800.9599999999998
2022-07-07,000429.XSHE,9100,0.456,4149.6
2022-07-07,601006.XSHG,11300,0.384,4339.2
2022-07-08,601939.XSHG,12300,0.2912,3581.76
2022-07-12,601398.XSHG,15700,0.23464,3683.848
2022-07-15,601169.XSHG,16500,0.244,4026.0
2022-07-15,601288.XSHG,24900,0.16544,4119.456
2022-07-15,601988.XSHG,23000,0.1768,4066.4
2022-07-15,000883.XSHE,14400,0.12,1728.0
2022-07-15,601985.XSHG,10700,0.12,1284.0
2022-07-19,601326.XSHG,26600,0.0448,1191.68
2022-07-20,600012.XSHG,9900,0.44,4356.0
2022-07-29,600886.XSHG,7000,0.1308,915.6
2022-08-26,601298.XSHG,13700,0.20512,2810.144
2023-04-25,600681.XSHG,18500,0.12,2220.0
2023-05-31,600017.XSHG,28400,0.032,908.8000000000001
2023-06-15,600350.XSHG,12900,0.32,4128.0
2023-06-16,600035.XSHG,22900,0.112,2564.8
2023-06-19,600956.XSHG,8600,0.1544,1327.8400000000001
2023-06-20,600717.XSHG,19700,0.0616,1213.52
2023-06-28,601825.XSHG,13900,0.2736,3803.04
2023-06-28,600098.XSHG,13500,0.16,2160.0
2023-06-28,001872.XSHE,4800,0.36,1728.0
2023-06-29,601077.XSHG,22000,0.21712,4776.64
2023-07-05,601880.XSHG,55100,0.01392,766.992
2023-07-06,600908.XSHG,16100,0.16,2576.0
2023-07-13,601006.XSHG,11500,0.384,4416.0
2023-07-14,002267.XSHE,10800,0.24,2592.0
2023-07-14,601985.XSHG,12100,0.136,1645.6000000000001
2023-07-14,000429.XSHE,11100,0.3424,3800.64
2023-07-19,600012.XSHG,8200,0.44,3608.0
2023-07-26,600377.XSHG,8700,0.368,3201.6
2023-07-28,600033.XSHG,27400,0.12,3288.0
2023-08-11,600018.XSHG,16400,0.112,1836.8
