check,status,detail
formal_validation_completed,passed,formal_validation_completed_not_acceptance
notice_date_leakage_audit_passed,passed,checks=1
rolling_validation_completed,passed,completed_windows=4
factor_ic_rankic_available,passed,factor_rows=2
state_diagnostic_completed,passed,state_diagnostic_completed_not_engineering_handoff
no_state_policy_documented,passed,no_state_scoring_or_guard_policy_accepted_for_engineering_smoke_test
panel_exists,passed,rows=1687 latest=2026-04-01
real_daily_prices_exist,passed,rows=124028 latest=2026-05-29
real_dividends_exist,passed,rows=440 latest=2026-05-29
benchmark_prices_exist,passed,rows=1228 latest=2026-05-29
