trade_date,code,amount,net_cash_per_share,dividend_cash
2022-04-25,600681.XSHG,13900,0.2,2780.0
2022-05-13,002807.XSHE,16400,0.144,2361.6
2022-05-17,001872.XSHE,4500,0.344,1547.9999999999998
2022-05-20,000582.XSHE,9500,0.1472,1398.3999999999999
2022-05-27,601228.XSHG,21900,0.0456,998.64
2022-06-15,600350.XSHG,13300,0.32,4256.0
2022-06-21,002267.XSHE,11600,0.24,2784.0
2022-06-23,600717.XSHG,16200,0.0808,1308.96
2022-06-29,601077.XSHG,18200,0.202,3676.4
2022-06-29,600033.XSHG,24900,0.12,2988.0
2022-06-30,000421.XSHE,14500,0.08,1160.0
2022-07-07,003816.XSHE,26500,0.0672,1780.8
2022-07-07,000429.XSHE,9000,0.456,4104.0
2022-07-07,601006.XSHG,11200,0.384,4300.8
2022-07-08,601939.XSHG,12200,0.2912,3552.6400000000003
2022-07-12,601398.XSHG,15600,0.23464,3660.384
2022-07-15,601169.XSHG,16400,0.244,4001.6
2022-07-15,601288.XSHG,24700,0.16544,4086.368
2022-07-15,601988.XSHG,22800,0.1768,4031.0400000000004
2022-07-15,000883.XSHE,14200,0.12,1704.0
2022-07-15,601985.XSHG,10600,0.12,1272.0
2022-07-19,601326.XSHG,26400,0.0448,1182.72
2022-07-20,600012.XSHG,9900,0.44,4356.0
2022-07-29,600886.XSHG,6900,0.1308,902.52
2022-08-26,601298.XSHG,13500,0.20512,2769.12
2023-04-25,600681.XSHG,18400,0.12,2208.0
2023-05-31,600017.XSHG,28100,0.032,899.2
2023-06-15,600350.XSHG,12800,0.32,4096.0
2023-06-16,600035.XSHG,22700,0.112,2542.4
2023-06-19,600956.XSHG,8500,0.1544,1312.4
2023-06-20,600717.XSHG,19500,0.0616,1201.2
2023-06-28,601825.XSHG,13800,0.2736,3775.6800000000003
2023-06-28,600098.XSHG,13400,0.16,2144.0
2023-06-28,001872.XSHE,4700,0.36,1692.0
2023-06-29,601077.XSHG,21800,0.21712,4733.216
2023-07-05,601880.XSHG,54600,0.01392,760.032
2023-07-06,600908.XSHG,16000,0.16,2560.0
2023-07-13,601006.XSHG,11400,0.384,4377.6
2023-07-14,002267.XSHE,10700,0.24,2568.0
2023-07-14,601985.XSHG,12000,0.136,1632.0000000000002
2023-07-14,000429.XSHE,10900,0.3424,3732.16
2023-07-19,600012.XSHG,8100,0.44,3564.0
2023-07-26,600377.XSHG,8600,0.368,3164.7999999999997
2023-07-28,600033.XSHG,27300,0.12,3276.0
2023-08-11,600018.XSHG,16300,0.112,1825.6000000000001
2023-08-16,000883.XSHE,18500,0.048,888.0
2024-05-10,002807.XSHE,23700,0.152,3602.4
2024-05-14,000690.XSHE,18000,0.24,4320.0
2024-05-15,600018.XSHG,16900,0.1376,2325.44
2024-05-28,600020.XSHG,24400,0.1192,2908.48
2024-06-07,603323.XSHG,19900,0.144,2865.6
2024-06-07,600035.XSHG,20900,0.152,3176.7999999999997
2024-06-13,000900.XSHE,24400,0.12,2928.0
2024-06-14,601187.XSHG,17300,0.248,4290.4
2024-06-14,600017.XSHG,32900,0.052,1710.8
2024-06-18,000027.XSHE,12700,0.112,1422.4
2024-06-20,600717.XSHG,20900,0.0816,1705.44
2024-06-25,600350.XSHG,11200,0.336,3763.2000000000003
2024-06-27,601229.XSHG,13400,0.368,4931.2
2024-06-27,600033.XSHG,27400,0.096,2630.4
2024-06-28,601077.XSHG,19700,0.2308,4546.76
2024-06-28,601816.XSHG,18000,0.08928,1607.04
2024-07-05,600908.XSHG,18200,0.16,2912.0
2024-07-05,600795.XSHG,16500,0.056,924.0
2024-07-10,601169.XSHG,16900,0.256,4326.4
2024-07-11,600011.XSHG,10100,0.16,1616.0
2024-07-12,601939.XSHG,13100,0.32,4192.0
2024-07-15,000429.XSHE,9400,0.4376,4113.44
2024-07-16,601398.XSHG,17000,0.24512,4167.04
2024-07-17,601326.XSHG,30700,0.0664,2038.48
2024-07-18,600000.XSHG,12000,0.2568,3081.5999999999995
2024-07-26,600377.XSHG,7600,0.376,2857.6
2024-08-08,000883.XSHE,16100,0.072,1159.1999999999998
2024-08-23,601991.XSHG,31900,0.006,191.4
2024-10-21,000905.XSHE,16300,0.0424,691.12
2024-10-25,600681.XSHG,28600,0.072,2059.2
2024-10-31,600795.XSHG,20000,0.072,1440.0
2024-12-20,600033.XSHG,28900,0.04,1156.0
2025-01-22,601818.XSHG,28700,0.0832,2387.8399999999997
2025-04-25,601988.XSHG,20000,0.09728,1945.6000000000001
2025-04-30,002807.XSHE,24900,0.16,3984.0
2025-05-09,601008.XSHG,28300,0.048,1358.4
2025-05-14,000828.XSHE,10700,0.26,2782.0
2025-05-16,601018.XSHG,29600,0.0864,2557.44
2025-05-29,000900.XSHE,26100,0.12,3132.0
2025-06-04,000791.XSHE,15900,0.144,2289.6
2025-06-05,002966.XSHE,13800,0.16,2208.0
2025-06-06,601997.XSHG,18700,0.232,4338.400000000001
2025-06-13,600017.XSHG,35700,0.0688,2456.16
2025-06-16,000905.XSHE,14200,0.044,624.8
2025-06-19,600717.XSHG,23100,0.0832,1921.9199999999998
2025-06-25,000543.XSHE,14300,0.2552,3649.3599999999997
2025-06-27,601825.XSHG,13000,0.1544,2007.2
2025-06-27,002039.XSHE,6700,0.048,321.6
2025-06-27,600098.XSHG,17000,0.216,3672.0
2025-06-27,600035.XSHG,24800,0.136,3372.8
2025-07-04,600908.XSHG,18400,0.176,3238.3999999999996
2025-07-10,600011.XSHG,16400,0.216,3542.4
2025-07-10,600795.XSHG,23600,0.088,2076.7999999999997
2025-07-11,600033.XSHG,33200,0.04,1328.0
2025-07-14,601398.XSHG,15300,0.13168,2014.704
2025-07-14,600027.XSHG,21400,0.104,2225.6
2025-07-14,000429.XSHE,8700,0.4184,3640.08
2025-07-15,600020.XSHG,24300,0.136,3304.8
2025-07-17,600018.XSHG,20500,0.116,2378.0
2025-07-18,601326.XSHG,36300,0.068,2468.4
2025-07-30,600377.XSHG,7600,0.392,2979.2000000000003
2025-08-05,600350.XSHG,11000,0.336,3696.0000000000005
2025-08-08,601228.XSHG,36100,0.0312,1126.32
2025-08-15,601333.XSHG,40800,0.056,2284.8
2025-08-22,601991.XSHG,35900,0.04968,1783.5120000000002
2025-10-15,000001.XSHE,10500,0.1888,1982.3999999999999
2025-10-15,002839.XSHE,27900,0.08,2232.0
2025-10-16,600803.XSHG,6500,0.144,935.9999999999999
2025-10-24,601018.XSHG,32800,0.024,787.2
2025-10-29,600795.XSHG,23300,0.08,1864.0
2025-10-29,603689.XSHG,14100,0.04,564.0
2025-10-31,600017.XSHG,38900,0.0264,1026.96
2025-11-12,600027.XSHG,23000,0.072,1655.9999999999998
2025-11-25,600908.XSHG,20400,0.088,1795.1999999999998
2025-12-03,002807.XSHE,27100,0.08,2168.0
2025-12-15,601398.XSHG,16500,0.11312,1866.48
2025-12-31,600033.XSHG,35700,0.04,1428.0
2026-01-13,600018.XSHG,22600,0.04,904.0
2026-02-05,601860.XSHG,44300,0.04,1772.0
2026-05-12,601528.XSHG,23000,0.168,3864.0000000000005
2026-05-19,000828.XSHE,12300,0.26,3198.0
2026-05-29,002039.XSHE,6600,0.312,2059.2
