seed_id,seed_keyword,report_id,title,org_name,pub_time_str,view_url,stage1_title_filter_passed,paragraph_count,paragraph_matched_terms,paragraph_passed,pdf_status,pdf_path,evidence_card_allowed
S01,红利低波,5198160,指数基金投资+：A股ETF买入超五百亿，推荐红利低波ETF,华鑫证券,2025/12/22/,https://www.fxbaogao.com/view?id=5198160,yes,8,低波;回撤;红利;组合;资产配置,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5198160.pdf,no_pdf_review_required_first
S01,红利低波,5027124,国联安中证A500红利低波ETF（560573）：聚焦红利属性，把握低波风格,长江证券,2025/08/28/,https://www.fxbaogao.com/view?id=5027124,yes,20,低波;低波动;回撤;红利;股息;防守;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5027124.pdf,no_pdf_review_required_first
S01,红利低波,5195593,金融工程：AI识图关注通信、红利低波、创业板,广发证券,2025/12/07/,https://www.fxbaogao.com/view?id=5195593,yes,2,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195593.pdf,no_pdf_review_required_first
S01,红利低波,5337289,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,2026/03/29/,https://www.fxbaogao.com/view?id=5337289,yes,2,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5337289.pdf,no_pdf_review_required_first
S01,红利低波,5544913,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,2026/07/19/,https://www.fxbaogao.com/view?id=5544913,yes,1,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5544913.pdf,no_pdf_review_required_first
S01,红利低波,5011349,2025年7月新基金发行报告（新基金受理与机构新设篇）：创业板ETF将扩容，首批中证A500红利低波ETF获批,上海证券,2025/08/22/,https://www.fxbaogao.com/view?id=5011349,yes,5,低波;红利;股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5011349.pdf,no_pdf_review_required_first
S01,红利低波,5193364,“质量红利”占比调升，从红利低波年度调仓初看 2026 年红利配置机会,长江证券,2025/12/18/,https://www.fxbaogao.com/view?id=5193364,yes,18,低波;再平衡;红利;股息;资产配置,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5193364.pdf,no_pdf_review_required_first
S01,红利低波,5209020,布局2026红利低波策略年度解读20251225,未知机构,2025/12/25/,https://www.fxbaogao.com/view?id=5209020,yes,20,低波;低波动;回撤;红利;组合;股息;资产配置;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5209020.pdf,no_pdf_review_required_first
S01,红利低波,5203254,红利低波策略年度解读,-,2025/12/26/,https://www.fxbaogao.com/view?id=5203254,yes,20,低波;低波动;回撤;红利;组合;股息;资产配置;防守;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203254.pdf,no_pdf_review_required_first
S01,红利低波,5479745,上周红利低波策略获资金流入,华泰证券,2026/06/15/,https://www.fxbaogao.com/view?id=5479745,yes,13,低波;低波动;回撤;红利;组合;股息;资产配置;风险预算;高股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5479745.pdf,no_pdf_review_required_first
S01,红利低波,100012550,ETF50每周热榜|资金流入红利低波,中金公司,2025/11/11/,https://www.fxbaogao.com/view?id=100012550,yes,0,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
S01,红利低波,5154569,量化观市：市场卖压有所缓解，红利低波表现较优,国联民生证券,2025/11/18/,https://www.fxbaogao.com/view?id=5154569,yes,11,低波;红利;组合;股息,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5154569.pdf,no_pdf_review_required_first
S01,红利低波,5324456,A股量化择时研究报告：AI识图关注红利低波、银行、地产,广发证券,2026/03/23/,https://www.fxbaogao.com/view?id=5324456,yes,1,低波;低波动;红利,yes,downloaded_needs_original_review,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324456.pdf,no_pdf_review_required_first
S02,低波动 策略,5134341,固收深度报告：“低利率”和“低波动”环境下的活跃券利差交易策略,东吴证券,2025/11/04/,https://www.fxbaogao.com/view?id=5134341,yes,12,,no,not_attempted_paragraph_failed,,no_pdf_review_required_first
