trade_date,code,target_weight,effective_target_weight,actual_weight,amount,close
2021-07-01,600854.XSHG,0.0995,0.0995,0.1007075412335151,56800,3.45
2021-07-01,601956.XSHG,0.0995,0.0995,0.09959747648017568,25500,7.6
2021-07-01,003023.XSHE,0.0995,0.0995,0.10028098857366709,6500,30.02
2021-07-01,600336.XSHG,0.0995,0.0995,0.0991847996297444,34900,5.53
2021-07-01,002418.XSHE,0.0995,0.0995,0.08512552117738029,50500,3.28
2021-07-01,002543.XSHE,0.0995,0.0995,0.10154008979851967,26700,7.4
2021-07-01,603578.XSHG,0.0995,0.0995,0.10138591413833363,13700,14.4
2021-07-01,000333.XSHE,0.0995,0.0995,0.10162642816822384,2700,73.24
2021-07-01,300475.XSHE,0.0995,0.0995,0.10036372951130025,8100,24.11
2021-07-01,002429.XSHE,0.0995,0.0995,0.09947208027655771,33200,5.83
2021-10-08,000404.XSHE,0.0995,0.0995,0.10327932034496147,47800,4.11
2021-10-08,000521.XSHE,0.0995,0.0995,0.10110499672898877,56900,3.38
2021-10-08,603551.XSHG,0.0995,0.0995,0.1014377691779517,18500,10.43
2021-10-08,002668.XSHE,0.0995,0.0995,0.0952596620370158,32300,5.61
2021-10-08,000921.XSHE,0.0995,0.0995,0.09998156114694486,15500,12.27
2021-10-08,002011.XSHE,0.0995,0.0995,0.09552724683404919,27700,6.56
2021-10-08,600619.XSHG,0.0995,0.0995,0.09833241869450136,22700,8.24
2021-10-08,600854.XSHG,0.0995,0.0995,0.1008032409853794,55100,3.48
2021-10-08,002290.XSHE,0.0995,0.0995,0.09901163197105763,21900,8.6
2021-10-08,603355.XSHG,0.0995,0.0995,0.09826092256012701,7200,25.96
2022-01-04,000521.XSHE,0.0995,0.0995,0.09910781115541359,62700,3.72
2022-01-04,600839.XSHG,0.0995,0.0995,0.09892977368017686,69500,3.35
2022-01-04,000404.XSHE,0.0995,0.0995,0.10015054138030849,48900,4.82
2022-01-04,000921.XSHE,0.0995,0.0995,0.09939844989780483,15200,15.39
