trade_date,order_health_status,selected_count,selected_codes,executed_order_count,buy_order_count,sell_order_count,skipped_order_count,buy_skipped_count,sell_skipped_count,buy_turnover,sell_turnover,holding_count_after_rebalance,cash_weight_after_rebalance,portfolio_value_after_rebalance,diagnosis
2021-07-01,normal_ordered,10,000333.XSHE;002418.XSHE;002429.XSHE;002543.XSHE;003023.XSHE;300475.XSHE;600336.XSHG;600854.XSHG;601956.XSHG;603578.XSHG,10,10,0,0,0,0,1978556.0,0,10,0.010715431012582322,1945832.4331999999,At least one order executed and holdings exist after rebalance.
2021-10-08,normal_ordered,10,000404.XSHE;000521.XSHE;000921.XSHE;002011.XSHE;002290.XSHE;002668.XSHE;600619.XSHG;600854.XSHG;603355.XSHG;603551.XSHG,19,9,10,0,0,0,1686316.0,1676445.0,10,0.007001229519022747,1902200.744,At least one order executed and holdings exist after rebalance.
2022-01-04,normal_ordered,10,000404.XSHE;000521.XSHE;000651.XSHE;000921.XSHE;002035.XSHE;002668.XSHE;002676.XSHE;600619.XSHG;600839.XSHG;600854.XSHG,14,8,6,0,0,0,1045936.0,1049276.0,10,0.00680795899645401,2353437.1033,At least one order executed and holdings exist after rebalance.
2022-04-01,normal_ordered,10,000016.XSHE;000404.XSHE;000521.XSHE;000651.XSHE;000921.XSHE;002035.XSHE;002242.XSHE;002668.XSHE;600690.XSHG;600839.XSHG,12,7,5,0,0,0,646442.0,648939.0,10,0.008842359559339095,2049024.2088,At least one order executed and holdings exist after rebalance.
2022-07-01,normal_ordered,10,000333.XSHE;002242.XSHE;002290.XSHE;002429.XSHE;002959.XSHE;003023.XSHE;600060.XSHG;600854.XSHG;603657.XSHG;605555.XSHG,18,9,9,0,0,0,2039685.0,2025409.0,10,0.012718637597117796,2284417.6805999996,At least one order executed and holdings exist after rebalance.
2022-10-10,normal_ordered,10,000404.XSHE;000521.XSHE;002418.XSHE;002429.XSHE;002723.XSHE;600060.XSHG;600839.XSHG;600983.XSHG;601956.XSHG;688609.XSHG,18,10,8,0,0,0,1840009.0,1822556.0,10,0.005213183796876655,2257666.6310999994,At least one order executed and holdings exist after rebalance.
2023-01-03,normal_ordered,10,000521.XSHE;000541.XSHE;000651.XSHE;000921.XSHE;002290.XSHE;002418.XSHE;002614.XSHE;600839.XSHG;605365.XSHG;605555.XSHG,17,10,7,0,0,0,1700121.0,1706379.0,10,0.007044009258290091,2413822.9914999995,At least one order executed and holdings exist after rebalance.
2023-04-03,normal_ordered,10,000541.XSHE;000651.XSHE;002418.XSHE;002519.XSHE;002614.XSHE;600060.XSHG;600690.XSHG;600839.XSHG;605365.XSHG;605555.XSHG,13,9,4,0,0,0,1052331.0,1052801.0,10,0.007850815295259531,2878667.8898999994,At least one order executed and holdings exist after rebalance.
2023-07-03,normal_ordered,10,000651.XSHE;002076.XSHE;002242.XSHE;002290.XSHE;002418.XSHE;002543.XSHE;003023.XSHE;600060.XSHG;603112.XSHG;603215.XSHG,17,8,9,0,0,0,2084481.0,2061489.0,10,0.007726041200164166,3008386.9212999986,At least one order executed and holdings exist after rebalance.
2023-10-09,normal_ordered,10,000404.XSHE;000521.XSHE;000651.XSHE;000921.XSHE;002035.XSHE;002418.XSHE;002543.XSHE;002668.XSHE;600839.XSHG;601956.XSHG,16,8,8,0,0,0,2073030.0,2056288.0,10,0.006075110602188497,2950485.525899999,At least one order executed and holdings exist after rebalance.
