trade_date,factor_visible_date,business_tag_visible_date,external_state_visible_date,universe_visible_date,case,factor,candidate_count,guarded_count,selected_count,used_factors,selected_codes,experiment_layer
2021-07-01,2021-07-01,,2021-07-01,2021-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,65,65,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,600854.XSHG;601956.XSHG;003023.XSHE;600336.XSHG;002418.XSHE;002543.XSHE;603578.XSHG;000333.XSHE;300475.XSHE;002429.XSHE,engineering_smoke_test
2021-10-08,2021-10-08,,2021-10-08,2021-10-08,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,67,67,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000404.XSHE;000521.XSHE;603551.XSHG;002668.XSHE;000921.XSHE;002011.XSHE;600619.XSHG;600854.XSHG;002290.XSHE;603355.XSHG,engineering_smoke_test
2022-01-04,2022-01-04,,2022-01-04,2022-01-04,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,76,76,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;600839.XSHG;000404.XSHE;000921.XSHE;002668.XSHE;000651.XSHE;002035.XSHE;600854.XSHG;600619.XSHG;002676.XSHE,engineering_smoke_test
2022-04-01,2022-04-01,,2022-04-01,2022-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,78,78,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,600839.XSHG;000404.XSHE;000016.XSHE;002668.XSHE;000651.XSHE;000921.XSHE;002035.XSHE;000521.XSHE;002242.XSHE;600690.XSHG,engineering_smoke_test
2022-07-01,2022-07-01,,2022-06-29,2022-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,79,79,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,003023.XSHE;603657.XSHG;002290.XSHE;002429.XSHE;600060.XSHG;002242.XSHE;605555.XSHG;002959.XSHE;600854.XSHG;000333.XSHE,engineering_smoke_test
2022-10-10,2022-10-10,,2022-10-10,2022-10-10,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,80,80,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;600983.XSHG;000404.XSHE;600839.XSHG;600060.XSHG;002418.XSHE;688609.XSHG;002429.XSHE;601956.XSHG;002723.XSHE,engineering_smoke_test
2023-01-03,2023-01-03,,2023-01-03,2023-01-03,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,82,82,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;600839.XSHG;605555.XSHG;000921.XSHE;605365.XSHG;000541.XSHE;000651.XSHE;002290.XSHE;002418.XSHE;002614.XSHE,engineering_smoke_test
2023-04-03,2023-04-03,,2023-04-03,2023-04-03,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,83,83,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,600839.XSHG;000541.XSHE;605555.XSHG;605365.XSHG;002614.XSHE;002418.XSHE;600060.XSHG;600690.XSHG;002519.XSHE;000651.XSHE,engineering_smoke_test
2023-07-03,2023-07-03,,2023-07-03,2023-07-03,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,83,83,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002076.XSHE;003023.XSHE;000651.XSHE;002543.XSHE;600060.XSHG;603215.XSHG;603112.XSHG;002242.XSHE;002418.XSHE;002290.XSHE,engineering_smoke_test
2023-10-09,2023-10-09,,2023-10-09,2023-10-09,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,80,80,10,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000521.XSHE;600839.XSHG;601956.XSHG;000404.XSHE;002543.XSHE;000921.XSHE;002418.XSHE;000651.XSHE;002668.XSHE;002035.XSHE,engineering_smoke_test
