trade_date,code,amount,net_cash_per_share,dividend_cash
2022-04-25,600681.XSHG,14100,0.2,2820.0
2022-05-13,002807.XSHE,17300,0.144,2491.2
2022-05-17,001872.XSHE,4700,0.344,1616.8
2022-05-20,000582.XSHE,9800,0.1472,1442.56
2022-05-27,601228.XSHG,22600,0.0456,1030.56
2022-06-15,600350.XSHG,13600,0.32,4352.0
2022-06-21,002267.XSHE,11600,0.24,2784.0
2022-06-23,600717.XSHG,17100,0.0808,1381.6799999999998
2022-06-29,601077.XSHG,18400,0.202,3716.8
2022-06-29,600033.XSHG,25100,0.12,3012.0
2022-06-30,000421.XSHE,14600,0.08,1168.0
2022-07-07,003816.XSHE,26900,0.0672,1807.6799999999998
2022-07-07,000429.XSHE,9300,0.456,4240.8
2022-07-07,601006.XSHG,11400,0.384,4377.6
2022-07-08,601939.XSHG,12400,0.2912,3610.88
2022-07-12,601398.XSHG,15800,0.23464,3707.312
2022-07-15,601169.XSHG,16600,0.244,4050.4
2022-07-15,601288.XSHG,24900,0.16544,4119.456
2022-07-15,601988.XSHG,23100,0.1768,4084.0800000000004
2022-07-15,000883.XSHE,14700,0.12,1764.0
2022-07-15,601985.XSHG,10900,0.12,1308.0
2022-07-19,601326.XSHG,26600,0.0448,1191.68
2022-07-20,600012.XSHG,10100,0.44,4444.0
2022-07-29,600886.XSHG,7100,0.1308,928.68
2022-08-26,601298.XSHG,13700,0.20512,2810.144
2023-04-25,600681.XSHG,18500,0.12,2220.0
2023-05-31,600017.XSHG,28800,0.032,921.6
2023-06-15,600350.XSHG,13100,0.32,4192.0
2023-06-16,600035.XSHG,23100,0.112,2587.2000000000003
2023-06-19,600956.XSHG,8600,0.1544,1327.8400000000001
2023-06-20,600717.XSHG,19800,0.0616,1219.68
2023-06-28,601825.XSHG,14000,0.2736,3830.4
2023-06-28,600098.XSHG,13700,0.16,2192.0
2023-06-28,001872.XSHE,4700,0.36,1692.0
2023-06-29,601077.XSHG,21900,0.21712,4754.928
2023-07-05,601880.XSHG,55200,0.01392,768.384
2023-07-06,600908.XSHG,16200,0.16,2592.0
2023-07-13,601006.XSHG,11600,0.384,4454.400000000001
2023-07-14,002267.XSHE,10900,0.24,2616.0
2023-07-14,601985.XSHG,12200,0.136,1659.2
2023-07-14,000429.XSHE,11100,0.3424,3800.64
2023-07-19,600012.XSHG,8200,0.44,3608.0
2023-07-26,600377.XSHG,8800,0.368,3238.4
2023-07-28,600033.XSHG,27600,0.12,3312.0
2023-08-11,600018.XSHG,16500,0.112,1848.0
2023-08-16,000883.XSHE,18700,0.048,897.6
2024-05-10,002807.XSHE,24800,0.152,3769.6
2024-05-14,000690.XSHE,18500,0.24,4440.0
2024-05-15,600018.XSHG,17300,0.1376,2380.48
2024-05-28,600020.XSHG,24800,0.1192,2956.16
2024-06-07,603323.XSHG,20700,0.144,2980.7999999999997
2024-06-07,600035.XSHG,21100,0.152,3207.2
2024-06-13,000900.XSHE,25100,0.12,3012.0
2024-06-14,601187.XSHG,17800,0.248,4414.4
2024-06-14,600017.XSHG,33800,0.052,1757.6
2024-06-18,000027.XSHE,13100,0.112,1467.2
2024-06-20,600717.XSHG,21600,0.0816,1762.5600000000002
2024-06-25,600350.XSHG,10900,0.336,3662.4
2024-06-27,601229.XSHG,13800,0.368,5078.4
2024-06-27,600033.XSHG,27800,0.096,2668.8
2024-06-28,601077.XSHG,20100,0.2308,4639.08
2024-06-28,601816.XSHG,18500,0.08928,1651.68
2024-07-05,600908.XSHG,18800,0.16,3008.0
2024-07-05,600795.XSHG,16700,0.056,935.2
2024-07-10,601169.XSHG,17100,0.256,4377.6
2024-07-11,600011.XSHG,10300,0.16,1648.0
2024-07-12,601939.XSHG,13400,0.32,4288.0
2024-07-15,000429.XSHE,9500,0.4376,4157.2
2024-07-16,601398.XSHG,17500,0.24512,4289.6
2024-07-17,601326.XSHG,31500,0.0664,2091.6
2024-07-18,600000.XSHG,12100,0.2568,3107.2799999999997
2024-07-26,600377.XSHG,7900,0.376,2970.4
2024-08-08,000883.XSHE,16600,0.072,1195.1999999999998
2024-08-23,601991.XSHG,33200,0.006,199.20000000000002
2024-10-21,000905.XSHE,16700,0.0424,708.08
2024-10-25,600681.XSHG,29000,0.072,2088.0
2024-10-31,600795.XSHG,19600,0.072,1411.1999999999998
2024-12-20,600033.XSHG,28600,0.04,1144.0
2025-01-22,601818.XSHG,28800,0.0832,2396.16
2025-04-25,601988.XSHG,19700,0.09728,1916.4160000000002
2025-04-30,002807.XSHE,25000,0.16,4000.0
2025-05-09,601008.XSHG,28600,0.048,1372.8
2025-05-14,000828.XSHE,10900,0.26,2834.0
2025-05-16,601018.XSHG,29600,0.0864,2557.44
2025-05-29,000900.XSHE,26600,0.12,3192.0
2025-06-04,000791.XSHE,16400,0.144,2361.6
2025-06-05,002966.XSHE,14000,0.16,2240.0
2025-06-06,601997.XSHG,18700,0.232,4338.400000000001
2025-06-13,600017.XSHG,35800,0.0688,2463.04
2025-06-16,000905.XSHE,14600,0.044,642.4
2025-06-19,600717.XSHG,23300,0.0832,1938.56
2025-06-25,000543.XSHE,14700,0.2552,3751.4399999999996
2025-06-27,601825.XSHG,13200,0.1544,2038.0800000000002
2025-06-27,002039.XSHE,6600,0.048,316.8
2025-06-27,600098.XSHG,17300,0.216,3736.8
2025-06-27,600035.XSHG,25300,0.136,3440.8
2025-07-04,600908.XSHG,18700,0.176,3291.2
2025-07-10,600011.XSHG,16500,0.216,3564.0
2025-07-10,600795.XSHG,24300,0.088,2138.4
2025-07-11,600033.XSHG,33400,0.04,1336.0
2025-07-14,601398.XSHG,15600,0.13168,2054.208
2025-07-14,600027.XSHG,21600,0.104,2246.4
2025-07-14,000429.XSHE,8800,0.4184,3681.92
2025-07-15,600020.XSHG,24700,0.136,3359.2000000000003
2025-07-17,600018.XSHG,20700,0.116,2401.2000000000003
2025-07-18,601326.XSHG,36600,0.068,2488.8
2025-07-30,600377.XSHG,7700,0.392,3018.4
2025-08-05,600350.XSHG,11100,0.336,3729.6000000000004
2025-08-08,601228.XSHG,36500,0.0312,1138.8
2025-08-15,601333.XSHG,40900,0.056,2290.4
2025-08-22,601991.XSHG,37300,0.04968,1853.064
2025-10-15,000001.XSHE,10700,0.1888,2020.1599999999999
2025-10-15,002839.XSHE,28200,0.08,2256.0
2025-10-16,600803.XSHG,6700,0.144,964.8
2025-10-24,601018.XSHG,33300,0.024,799.2
2025-10-29,600795.XSHG,24200,0.08,1936.0
2025-10-29,603689.XSHG,14200,0.04,568.0
2025-10-31,600017.XSHG,39500,0.0264,1042.8
2025-11-12,600027.XSHG,23800,0.072,1713.6
2025-11-25,600908.XSHG,20600,0.088,1812.8
2025-12-03,002807.XSHE,27500,0.08,2200.0
2025-12-15,601398.XSHG,16700,0.11312,1889.104
2025-12-31,600033.XSHG,36100,0.04,1444.0
2026-01-13,600018.XSHG,22900,0.04,916.0
2026-02-05,601860.XSHG,45200,0.04,1808.0
2026-05-12,601528.XSHG,23500,0.168,3948.0000000000005
2026-05-19,000828.XSHE,12500,0.26,3250.0
2026-05-29,002039.XSHE,6700,0.312,2090.4
