trade_date,factor_visible_date,business_tag_visible_date,external_state_visible_date,universe_visible_date,case,factor,candidate_count,guarded_count,selected_count,used_factors,selected_codes,experiment_layer
2022-01-04,2022-01-04,,,2022-01-04,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,33,33,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000716.XSHE;600873.XSHG;603886.XSHG;603043.XSHG;002557.XSHE;002695.XSHE;002847.XSHE;603777.XSHG,engineering_smoke_test
2022-04-01,2022-04-01,,,2022-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,33,33,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,000716.XSHE;603777.XSHG;003000.XSHE;002695.XSHE;002557.XSHE;600298.XSHG;002650.XSHE;603696.XSHG,engineering_smoke_test
2022-07-01,2022-07-01,,,2022-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,34,34,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002695.XSHE;300783.XSHE;603777.XSHG;003000.XSHE;600873.XSHG;600186.XSHG;603517.XSHG;002956.XSHE,engineering_smoke_test
2022-10-10,2022-10-10,,,2022-10-10,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,33,33,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002650.XSHE;603777.XSHG;603886.XSHG;002695.XSHE;603043.XSHG;603697.XSHG;603866.XSHG;600872.XSHG,engineering_smoke_test
2023-01-03,2023-01-03,,,2023-01-03,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,33,33,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603043.XSHG;603886.XSHG;603697.XSHG;002557.XSHE;002956.XSHE;603719.XSHG;300908.XSHE;003000.XSHE,engineering_smoke_test
2023-04-03,2023-04-03,,,2023-04-03,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,35,35,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002557.XSHE;002956.XSHE;600298.XSHG;603057.XSHG;605339.XSHG;603517.XSHG;002507.XSHE;300908.XSHE,engineering_smoke_test
2023-07-03,2023-07-03,,,2023-07-03,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,35,35,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002582.XSHE;000716.XSHE;603719.XSHG;300783.XSHE;002695.XSHE;002820.XSHE;605339.XSHG;603517.XSHG,engineering_smoke_test
2023-10-09,2023-10-09,,,2023-10-09,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,35,35,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603719.XSHG;603886.XSHG;300908.XSHE;002557.XSHE;603057.XSHG;000716.XSHE;002495.XSHE;605339.XSHG,engineering_smoke_test
2024-01-02,2024-01-02,,,2024-01-02,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,35,35,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603043.XSHG;603886.XSHG;603719.XSHG;002557.XSHE;002956.XSHE;600298.XSHG;603317.XSHG;603866.XSHG,engineering_smoke_test
2024-04-01,2024-04-01,,,2024-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,35,35,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603719.XSHG;002956.XSHE;002557.XSHE;300973.XSHE;002820.XSHE;603057.XSHG;000716.XSHE;603696.XSHG,engineering_smoke_test
2024-07-01,2024-07-01,,,2024-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,35,35,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002650.XSHE;000716.XSHE;603517.XSHG;002557.XSHE;600186.XSHG;002695.XSHE;300783.XSHE;603697.XSHG,engineering_smoke_test
2024-10-08,2024-10-08,,,2024-10-08,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,37,37,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,300972.XSHE;603886.XSHG;600305.XSHG;603517.XSHG;603057.XSHG;002847.XSHE;002495.XSHE;300973.XSHE,engineering_smoke_test
2025-01-02,2025-01-02,,,2025-01-02,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,37,37,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603043.XSHG;603886.XSHG;600298.XSHG;002557.XSHE;002695.XSHE;300972.XSHE;603057.XSHG;003000.XSHE,engineering_smoke_test
2025-04-01,2025-04-01,,,2025-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,37,37,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,300783.XSHE;600298.XSHG;002557.XSHE;603866.XSHG;603057.XSHG;002695.XSHE;300972.XSHE;002956.XSHE,engineering_smoke_test
2025-07-01,2025-07-01,,,2025-07-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,37,37,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002695.XSHE;603517.XSHG;603719.XSHG;603866.XSHG;300972.XSHE;002650.XSHE;002557.XSHE;002956.XSHE,engineering_smoke_test
2025-10-09,2025-10-09,,,2025-10-09,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,37,37,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603886.XSHG;603057.XSHG;603866.XSHG;300973.XSHE;003000.XSHE;600186.XSHG;603517.XSHG;001219.XSHE,engineering_smoke_test
2026-01-05,2026-01-05,,,2026-01-05,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,37,37,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,603886.XSHG;600298.XSHG;603043.XSHG;002557.XSHE;003000.XSHE;603697.XSHG;002582.XSHE;001219.XSHE,engineering_smoke_test
2026-04-01,2026-04-01,,,2026-04-01,composite_current,operating_cash_flow_yield;operating_cash_flow_to_net_profit,36,36,8,operating_cash_flow_yield;operating_cash_flow_to_net_profit,002557.XSHE;003000.XSHE;300973.XSHE;603866.XSHG;603697.XSHG;001219.XSHE;002991.XSHE;002956.XSHE,engineering_smoke_test
