trade_date,code,target_weight,effective_target_weight,actual_weight,amount,close
2022-01-04,000716.XSHE,0.124375,0.124375,0.12608128968824944,73100,3.54
2022-01-04,600873.XSHG,0.124375,0.124375,0.12281590443513032,32400,7.78
2022-01-04,603886.XSHG,0.124375,0.124375,0.12201344404839694,10500,23.85
2022-01-04,603043.XSHG,0.124375,0.124375,0.12300007567142979,10200,24.75
2022-01-04,002557.XSHE,0.124375,0.124375,0.12059805399165102,4000,61.88
2022-01-04,002695.XSHE,0.124375,0.124375,0.1230848529071867,15200,16.62
2022-01-04,002847.XSHE,0.124375,0.124375,0.12003043629247409,2900,84.95
2022-01-04,603777.XSHG,0.124375,0.124375,0.13168340840510467,16400,16.48
2022-04-01,000716.XSHE,0.124375,0.124375,0.12305063650049965,63300,3.36
2022-04-01,603777.XSHG,0.124375,0.124375,0.1249378665100189,17500,12.34
2022-04-01,003000.XSHE,0.124375,0.124375,0.12224529493911068,24800,8.52
2022-04-01,002695.XSHE,0.124375,0.124375,0.1244345280341508,19000,11.32
2022-04-01,002557.XSHE,0.124375,0.124375,0.12431881803969835,4000,53.72
2022-04-01,600298.XSHG,0.124375,0.124375,0.12572527302226771,5100,42.61
2022-04-01,002650.XSHE,0.124375,0.124375,0.12396532400664616,47300,4.53
2022-04-01,603696.XSHG,0.124375,0.124375,0.1230865065987799,25000,8.51
2022-07-01,002695.XSHE,0.124375,0.124375,0.12407124518985367,18800,12.31
2022-07-01,300783.XSHE,0.124375,0.124375,0.12389808112934102,9300,24.85
2022-07-01,603777.XSHG,0.124375,0.124375,0.12393024782788825,16500,14.01
2022-07-01,003000.XSHE,0.124375,0.124375,0.12402728403517244,26200,8.83
2022-07-01,600873.XSHG,0.124375,0.124375,0.12284462175191882,20100,11.4
2022-07-01,600186.XSHG,0.124375,0.124375,0.12719677606536073,88200,2.69
2022-07-01,603517.XSHG,0.124375,0.124375,0.12008900790970506,4000,56.0
2022-07-01,002956.XSHE,0.124375,0.124375,0.12411895912603209,14300,16.19
2022-10-10,002650.XSHE,0.124375,0.124375,0.11814867611971677,46200,4.4
2022-10-10,603777.XSHG,0.124375,0.124375,0.12814551412276246,16000,13.78
2022-10-10,603886.XSHG,0.124375,0.124375,0.12417700192015803,12400,17.23
2022-10-10,002695.XSHE,0.124375,0.124375,0.12465068930227909,20100,10.67
2022-10-10,603043.XSHG,0.124375,0.124375,0.12738412704229793,10100,21.7
2022-10-10,603697.XSHG,0.124375,0.124375,0.12343072633900044,20800,10.21
2022-10-10,603866.XSHG,0.124375,0.124375,0.1270673667683642,16500,13.25
2022-10-10,600872.XSHG,0.124375,0.124375,0.11703623728612202,6600,30.51
2023-01-03,603043.XSHG,0.124375,0.124375,0.12257283208205368,10100,24.9
2023-01-03,603886.XSHG,0.124375,0.124375,0.12428453348677028,13400,19.03
2023-01-03,603697.XSHG,0.124375,0.124375,0.1242645506400751,21300,11.97
2023-01-03,002557.XSHE,0.124375,0.124375,0.12334533969209803,5300,47.75
2023-01-03,002956.XSHE,0.124375,0.124375,0.12674875965483604,17800,14.61
2023-01-03,603719.XSHG,0.124375,0.124375,0.12461059505845459,7100,36.01
2023-01-03,300908.XSHE,0.124375,0.124375,0.12265958687990093,6800,37.01
2023-01-03,003000.XSHE,0.124375,0.124375,0.12227308938162637,22300,11.25
2023-04-03,002557.XSHE,0.124375,0.124375,0.12362614731391876,6600,42.23
2023-04-03,002956.XSHE,0.124375,0.124375,0.12715372267535074,18700,15.33
2023-04-03,600298.XSHG,0.124375,0.124375,0.12299896366484736,6800,40.78
2023-04-03,603057.XSHG,0.124375,0.124375,0.12176322558400372,10100,27.18
2023-04-03,605339.XSHG,0.124375,0.124375,0.12076523180012068,10800,25.21
2023-04-03,603517.XSHG,0.124375,0.124375,0.12393929558566162,6400,43.66
2023-04-03,002507.XSHE,0.124375,0.124375,0.12387364977232176,11100,25.16
2023-04-03,300908.XSHE,0.124375,0.124375,0.12351348490453819,6400,43.51
2023-07-03,002582.XSHE,0.124375,0.124375,0.12917389198099147,32900,8.35
2023-07-03,000716.XSHE,0.124375,0.124375,0.12400627800697805,38500,6.85
2023-07-03,603719.XSHG,0.124375,0.124375,0.12210991884799752,10200,25.46
2023-07-03,300783.XSHE,0.124375,0.124375,0.12486206121286562,13500,19.67
2023-07-03,002695.XSHE,0.124375,0.124375,0.12477977436614567,23800,11.15
2023-07-03,002820.XSHE,0.124375,0.124375,0.12497067985053596,22600,11.76
2023-07-03,605339.XSHG,0.124375,0.124375,0.12109614489640762,12800,20.12
2023-07-03,603517.XSHG,0.124375,0.124375,0.12163453597923249,6900,37.49
2023-10-09,603719.XSHG,0.124375,0.124375,0.12332528165962296,11100,22.06
2023-10-09,603886.XSHG,0.124375,0.124375,0.12195134093952523,13400,18.07
2023-10-09,300908.XSHE,0.124375,0.124375,0.12480297303527058,6000,41.3
2023-10-09,002557.XSHE,0.124375,0.124375,0.12719427455250812,7600,33.23
2023-10-09,603057.XSHG,0.124375,0.124375,0.1233222597958691,11000,22.26
2023-10-09,000716.XSHE,0.124375,0.124375,0.12368790531008864,36600,6.71
2023-10-09,002495.XSHE,0.124375,0.124375,0.12353026475092786,94700,2.59
2023-10-09,605339.XSHG,0.124375,0.124375,0.12224697994344655,13300,18.25
2024-01-02,603043.XSHG,0.124375,0.124375,0.1246432568024523,12900,19.45
2024-01-02,603886.XSHG,0.124375,0.124375,0.12325328118405784,13700,18.11
2024-01-02,603719.XSHG,0.124375,0.124375,0.12321999727897122,12000,20.67
2024-01-02,002557.XSHE,0.124375,0.124375,0.12085932389133344,7200,33.79
2024-01-02,002956.XSHE,0.124375,0.124375,0.12579577411291518,17500,14.47
2024-01-02,600298.XSHG,0.124375,0.124375,0.1253531478527331,7100,35.54
2024-01-02,603317.XSHG,0.124375,0.124375,0.1250540894816561,18800,13.39
2024-01-02,603866.XSHG,0.124375,0.124375,0.12351011370539806,32800,7.58
2024-04-01,603719.XSHG,0.124375,0.124375,0.12237332689803407,13400,16.97
2024-04-01,002956.XSHE,0.124375,0.124375,0.12252938924159221,17900,12.72
2024-04-01,002557.XSHE,0.124375,0.124375,0.12119693971521321,6100,36.92
2024-04-01,300973.XSHE,0.124375,0.124375,0.1258346820489508,6700,34.9
2024-04-01,002820.XSHE,0.124375,0.124375,0.1232149872612234,23900,9.58
2024-04-01,603057.XSHG,0.124375,0.124375,0.12154565833116376,11500,19.64
2024-04-01,000716.XSHE,0.124375,0.124375,0.12226031623545751,44200,5.14
2024-04-01,603696.XSHG,0.124375,0.124375,0.1322526113912755,26800,9.17
2024-07-01,002650.XSHE,0.124375,0.124375,0.128805417387174,101400,1.92
2024-07-01,000716.XSHE,0.124375,0.124375,0.12484706960904972,51700,3.65
