trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,26500,0.16,4240.0
2021-05-24,600310.XSHG,17100,0.06,1026.0
2021-06-04,601988.XSHG,21800,0.1576,3435.68
2021-06-04,600017.XSHG,26000,0.028,728.0
2021-06-09,600035.XSHG,23700,0.056,1327.2
2021-06-15,002039.XSHE,4900,0.288,1411.1999999999998
2021-06-17,601288.XSHG,22200,0.14808,3287.3759999999997
2021-06-23,600717.XSHG,17880,0.0688,1230.144
2021-06-25,600168.XSHG,10600,0.0864,915.84
2021-06-25,000900.XSHE,16700,0.128,2137.6
2021-06-25,600106.XSHG,27100,0.0416,1127.36
2021-06-25,600368.XSHG,19200,0.1208,2319.36
2021-06-28,600033.XSHG,26300,0.08,2104.0
2021-06-29,601077.XSHG,17100,0.1776,3036.96
2021-07-02,600018.XSHG,14900,0.1024,1525.76
2021-07-06,601229.XSHG,8600,0.32,2752.0
2021-07-06,601398.XSHG,13800,0.2128,2936.64
2021-07-07,600011.XSHG,17000,0.144,2448.0
2021-07-07,600795.XSHG,29400,0.032,940.8000000000001
2021-07-08,003816.XSHE,26700,0.064,1708.8
2021-07-08,601006.XSHG,10800,0.384,4147.2
2021-07-13,601328.XSHG,14500,0.2536,3677.2
2021-07-14,601326.XSHG,26700,0.0512,1367.04
2021-07-15,000429.XSHE,9900,0.2328,2304.7200000000003
2021-07-16,601169.XSHG,14600,0.24,3504.0
2021-07-21,001872.XSHE,4200,0.304,1276.8
2021-07-23,600027.XSHG,20800,0.2,4160.0
2021-07-30,002267.XSHE,10400,0.16,1664.0
2021-08-10,600350.XSHG,11600,0.304,3526.4
2021-08-27,601991.XSHG,27100,0.0728,1972.88
2022-04-25,600681.XSHG,16300,0.2,3260.0
2022-05-13,002807.XSHE,19800,0.144,2851.2
2022-05-17,001872.XSHE,5400,0.344,1857.6
2022-05-20,000582.XSHE,11300,0.1472,1663.36
2022-05-27,601228.XSHG,25900,0.0456,1181.04
2022-06-15,600350.XSHG,15600,0.32,4992.0
2022-06-21,002267.XSHE,13300,0.24,3192.0
2022-06-23,600717.XSHG,19600,0.0808,1583.6799999999998
2022-06-29,601077.XSHG,21200,0.202,4282.400000000001
2022-06-29,600033.XSHG,28900,0.12,3468.0
2022-06-30,000421.XSHE,16800,0.08,1344.0
2022-07-07,003816.XSHE,30900,0.0672,2076.48
2022-07-07,000429.XSHE,10600,0.456,4833.6
2022-07-07,601006.XSHG,13100,0.384,5030.400000000001
2022-07-08,601939.XSHG,14200,0.2912,4135.04
2022-07-12,601398.XSHG,18100,0.23464,4246.9839999999995
2022-07-15,601169.XSHG,19000,0.244,4636.0
2022-07-15,601288.XSHG,28700,0.16544,4748.128
2022-07-15,601988.XSHG,26500,0.1768,4685.200000000001
2022-07-15,000883.XSHE,16900,0.12,2028.0
2022-07-15,601985.XSHG,12500,0.12,1500.0
2022-07-19,601326.XSHG,30600,0.0448,1370.8799999999999
2022-07-20,600012.XSHG,11600,0.44,5104.0
2022-07-29,600886.XSHG,8200,0.1308,1072.56
2022-08-26,601298.XSHG,15800,0.20512,3240.8959999999997
2023-04-25,600681.XSHG,21300,0.12,2556.0
2023-05-31,600017.XSHG,33100,0.032,1059.2
2023-06-15,600350.XSHG,15100,0.32,4832.0
2023-06-16,600035.XSHG,26600,0.112,2979.2000000000003
2023-06-19,600956.XSHG,9900,0.1544,1528.5600000000002
2023-06-20,600717.XSHG,22800,0.0616,1404.48
2023-06-28,601825.XSHG,16100,0.2736,4404.96
2023-06-28,600098.XSHG,15700,0.16,2512.0
2023-06-28,001872.XSHE,5400,0.36,1944.0
2023-06-29,601077.XSHG,25200,0.21712,5471.424
2023-07-05,601880.XSHG,63400,0.01392,882.528
2023-07-06,600908.XSHG,18600,0.16,2976.0
2023-07-13,601006.XSHG,13400,0.384,5145.6
2023-07-14,002267.XSHE,12500,0.24,3000.0
2023-07-14,601985.XSHG,14000,0.136,1904.0000000000002
2023-07-14,000429.XSHE,12800,0.3424,4382.719999999999
2023-07-19,600012.XSHG,9400,0.44,4136.0
2023-07-26,600377.XSHG,10100,0.368,3716.7999999999997
2023-07-28,600033.XSHG,31800,0.12,3816.0
2023-08-11,600018.XSHG,19000,0.112,2128.0
2023-08-16,000883.XSHE,21600,0.048,1036.8
2024-05-10,002807.XSHE,28500,0.152,4332.0
2024-05-14,000690.XSHE,21200,0.24,5088.0
2024-05-15,600018.XSHG,19900,0.1376,2738.24
2024-05-28,600020.XSHG,28500,0.1192,3397.2
2024-06-07,603323.XSHG,23700,0.144,3412.7999999999997
