trade_date,code,amount,net_cash_per_share,dividend_cash
2021-05-18,601000.XSHG,26200,0.16,4192.0
2021-05-24,600310.XSHG,17000,0.06,1020.0
2021-06-04,601988.XSHG,21900,0.1576,3451.4399999999996
2021-06-04,600017.XSHG,26000,0.028,728.0
2021-06-09,600035.XSHG,23100,0.056,1293.6000000000001
2021-06-15,002039.XSHE,4800,0.288,1382.3999999999999
2021-06-17,601288.XSHG,22200,0.14808,3287.3759999999997
2021-06-23,600717.XSHG,18000,0.0688,1238.4
2021-06-25,600168.XSHG,10500,0.0864,907.2
2021-06-25,000900.XSHE,16600,0.128,2124.8
2021-06-25,600106.XSHG,27200,0.0416,1131.52
2021-06-25,600368.XSHG,18500,0.1208,2234.8
2021-06-28,600033.XSHG,26000,0.08,2080.0
2021-06-29,601077.XSHG,17100,0.1776,3036.96
2021-07-02,600018.XSHG,14800,0.1024,1515.52
2021-07-06,601229.XSHG,8600,0.32,2752.0
2021-07-06,601398.XSHG,13600,0.2128,2894.08
2021-07-07,600011.XSHG,16900,0.144,2433.6
2021-07-07,600795.XSHG,29800,0.032,953.6
2021-07-08,003816.XSHE,26500,0.064,1696.0
2021-07-08,601006.XSHG,10700,0.384,4108.8
2021-07-13,601328.XSHG,14500,0.2536,3677.2
2021-07-14,601326.XSHG,26700,0.0512,1367.04
2021-07-15,000429.XSHE,9800,0.2328,2281.44
2021-07-16,601169.XSHG,14500,0.24,3480.0
2021-07-21,001872.XSHE,4200,0.304,1276.8
2021-07-23,600027.XSHG,20600,0.2,4120.0
2021-07-30,002267.XSHE,10300,0.16,1648.0
2021-08-10,600350.XSHG,11600,0.304,3526.4
2021-08-27,601991.XSHG,27600,0.0728,2009.2800000000002
2022-04-25,600681.XSHG,16100,0.2,3220.0
2022-05-13,002807.XSHE,18900,0.144,2721.6
2022-05-17,001872.XSHE,5200,0.344,1788.8
2022-05-20,000582.XSHE,11000,0.1472,1619.2
2022-05-27,601228.XSHG,25300,0.0456,1153.68
2022-06-15,600350.XSHG,15300,0.32,4896.0
2022-06-21,002267.XSHE,13400,0.24,3216.0
2022-06-23,600717.XSHG,18800,0.0808,1519.04
2022-06-29,601077.XSHG,21000,0.202,4242.0
2022-06-29,600033.XSHG,28700,0.12,3444.0
2022-06-30,000421.XSHE,16700,0.08,1336.0
2022-07-07,003816.XSHE,30600,0.0672,2056.3199999999997
2022-07-07,000429.XSHE,10400,0.456,4742.400000000001
2022-07-07,601006.XSHG,13000,0.384,4992.0
2022-07-08,601939.XSHG,14100,0.2912,4105.92
2022-07-12,601398.XSHG,18000,0.23464,4223.5199999999995
2022-07-15,601169.XSHG,19000,0.244,4636.0
2022-07-15,601288.XSHG,28600,0.16544,4731.584
2022-07-15,601988.XSHG,26300,0.1768,4649.84
2022-07-15,000883.XSHE,16500,0.12,1980.0
2022-07-15,601985.XSHG,12300,0.12,1476.0
2022-07-19,601326.XSHG,30500,0.0448,1366.4
2022-07-20,600012.XSHG,11400,0.44,5016.0
2022-07-29,600886.XSHG,8000,0.1308,1046.4
2022-08-26,601298.XSHG,15600,0.20512,3199.872
2023-04-25,600681.XSHG,21200,0.12,2544.0
2023-05-31,600017.XSHG,32500,0.032,1040.0
2023-06-15,600350.XSHG,14700,0.32,4704.0
2023-06-16,600035.XSHG,26300,0.112,2945.6
2023-06-19,600956.XSHG,9800,0.1544,1513.1200000000001
2023-06-20,600717.XSHG,22500,0.0616,1386.0
2023-06-28,601825.XSHG,15900,0.2736,4350.24
2023-06-28,600098.XSHG,15500,0.16,2480.0
2023-06-28,001872.XSHE,5400,0.36,1944.0
2023-06-29,601077.XSHG,25200,0.21712,5471.424
2023-07-05,601880.XSHG,63100,0.01392,878.352
2023-07-06,600908.XSHG,18500,0.16,2960.0
2023-07-13,601006.XSHG,13200,0.384,5068.8
2023-07-14,002267.XSHE,12400,0.24,2976.0
2023-07-14,601985.XSHG,13900,0.136,1890.4
2023-07-14,000429.XSHE,12600,0.3424,4314.24
2023-07-19,600012.XSHG,9400,0.44,4136.0
2023-07-26,600377.XSHG,10000,0.368,3680.0
2023-07-28,600033.XSHG,31500,0.12,3780.0
2023-08-11,600018.XSHG,18800,0.112,2105.6
2023-08-16,000883.XSHE,21400,0.048,1027.2
2024-05-10,002807.XSHE,27400,0.152,4164.8
2024-05-14,000690.XSHE,20800,0.24,4992.0
2024-05-15,600018.XSHG,19600,0.1376,2696.96
2024-05-28,600020.XSHG,28200,0.1192,3361.44
2024-06-07,603323.XSHG,23000,0.144,3311.9999999999995
2024-06-07,600035.XSHG,24200,0.152,3678.4
2024-06-13,000900.XSHE,28100,0.12,3372.0
2024-06-14,601187.XSHG,20000,0.248,4960.0
2024-06-14,600017.XSHG,38000,0.052,1976.0
2024-06-18,000027.XSHE,14700,0.112,1646.4
2024-06-20,600717.XSHG,24200,0.0816,1974.7200000000003
2024-06-25,600350.XSHG,12900,0.336,4334.400000000001
2024-06-27,601229.XSHG,15500,0.368,5704.0
2024-06-27,600033.XSHG,31600,0.096,3033.6
2024-06-28,601077.XSHG,22700,0.2308,5239.16
2024-06-28,601816.XSHG,20800,0.08928,1857.024
2024-07-05,600908.XSHG,21000,0.16,3360.0
2024-07-05,600795.XSHG,19100,0.056,1069.6
2024-07-10,601169.XSHG,19500,0.256,4992.0
2024-07-11,600011.XSHG,11700,0.16,1872.0
2024-07-12,601939.XSHG,15200,0.32,4864.0
2024-07-15,000429.XSHE,10900,0.4376,4769.84
2024-07-16,601398.XSHG,19700,0.24512,4828.8640000000005
2024-07-17,601326.XSHG,35500,0.0664,2357.2
2024-07-18,600000.XSHG,13800,0.2568,3543.8399999999997
2024-07-26,600377.XSHG,8800,0.376,3308.8
2024-08-08,000883.XSHE,18700,0.072,1346.3999999999999
