source_id,evidence_layer,source_type,title,authors_or_owner,year_or_date,url_or_local_path,evidence_strength,applicable_scope,key_evidence,inference_limitations,allowed_v5i_role
V5I_LOCAL_001,A,local_governance,V5h 1min Research Line Governance,V5 project,2026-08-02,../../../../v5h_1min_research_line_governance/current/v5h_1min_research_line_report.md,high,1min execution research,"Defines V5h as 1min microstructure and execution-quality research; no trading-frequency increase.",Does not establish a sell feature or a return edge,scope boundary only
V5I_LOCAL_002,A,local_data_audit,V5f 1min Microstructure Signal Quality Gate,V5 project,2026-08-02,../../../../v5f_1min_microstructure_signal_quality_gate/current/v5f_1min_microstructure_report.md,high,cleaned 1min OHLCV and amount,"139055836 rows; full 240-minute stock-day rate 99.971695%; future outcomes are separated from observed features.",Dataset quality is not predictive evidence,data availability and PIT design
V5I_LOCAL_003,A,local_feature_schema,V5h 1min Volume Amount Timing Feature Schema,V5 project,2026-08-02,../../../../v5h_1min_volume_amount_timing_test/current/v5h_1min_volume_amount_feature_schema.csv,high,observed volume and amount,"Amount and volume intensity plus amount pressure are documented PIT-safe when calculated through the observation timestamp.",Does not identify buyer versus seller initiated volume,feature implementation constraint
V5I_LOCAL_004,A,local_governance,V5h 1min Volume Amount Timing Governance Audit,V5 project,2026-08-02,../../../../v5h_1min_volume_amount_timing_test/current/v5h_1min_volume_amount_governance_audit.csv,high,V5h scope,"Hindsight full-day volume/amount shares are explicitly labeled non-live; no threshold scan or mainline modification.",Does not validate any particular technical indicator,anti-leakage precedent
V5I_LOCAL_005,A,local_governance,Rejected Or Unsafe V5c Ideas,V5 project,2026-07-25,../v5c_defense_profit_taking/08_rejected_or_unsafe_ideas.md,high,V5 core governance,"Minute-level timing and stock-level profit taking were out of scope for V5c, requiring a separately bounded V5i line.",Does not forbid execution-quality research with a new PM boundary,governance separation
V5I_LOCAL_006,C,local_book_card,Quantitative Trading Backtest Error Cards,V5c WeRead paraphrase archive,2026-08-01,../v5c_defense_profit_taking/04_theory_cards.csv,medium,backtest governance,"Backtest errors include future functions, sample contamination, and ignored execution constraints.",Paraphrased book material is not a numeric or causal source,checklist support
V5I_ACAD_001,A,academic_paper,Foundations of Technical Analysis: Computational Algorithms Statistical Inference and Empirical Implementation,Andrew W Lo; Harry Mamaysky; Jiang Wang,2000,https://doi.org/10.1111/0022-1082.00265,high,technical-pattern research,"Shows that technical-pattern claims require formal algorithms and statistical inference rather than visual inspection.",US-market study; does not prove a V5i or A-share sell rule,pattern-formalization caution
V5I_ACAD_002,A,academic_paper,Simple Technical Trading Rules and the Stochastic Properties of Stock Returns,William Brock; Josef Lakonishok; Blake LeBaron,1992,https://doi.org/10.1111/j.1540-6261.1992.tb04681.x,high,technical-rule evidence,"Classic moving-average and trading-range rules can be tested as explicit algorithms, not discretionary charts.",Historical US evidence and data-snooping concerns prevent direct transfer,rule-pre-registration caution
V5I_ACAD_003,A,academic_review,What Do We Know About the Profitability of Technical Analysis?,Cheol-Ho Park; Scott H Irwin,2007,https://doi.org/10.1111/j.1467-6419.2007.00519.x,high,literature review,"Technical-analysis evidence is heterogeneous and sensitive to data snooping transaction costs and market setting.",Review is not a V5i performance result,evidence-quality and cost caution
V5I_ACAD_004,A,academic_paper,Intraday Patterns in the Cross-Section of Stock Returns,Steven L Heston; Robert A Korajczyk; Ronnie Sadka,2010,https://doi.org/10.1111/j.1540-6261.2010.01593.x,high,intraday return patterns,"Intraday return behavior can be time-of-day dependent, supporting separate execution-time diagnostics.",US evidence; it does not identify an individual-stock sell point,session-segmentation rationale
V5I_ACAD_005,A,academic_paper,Optimal Execution of Portfolio Transactions,Robert Almgren; Neil Chriss,2001,https://doi.org/10.21314/JOR.2001.041,high,execution economics,"Execution should trade off price risk and market impact against a specified benchmark.",Model assumptions and market structure need local validation,execution-alpha framing
V5I_PRACT_001,B,practitioner_book,New Concepts in Technical Trading Systems,J Welles Wilder,1978,book_reference_no_open_url,medium,oscillator definition,"Original practitioner source for RSI-style oscillator construction.",Not peer-reviewed and not evidence of sell profitability,feature definition only
V5I_PRACT_002,B,practitioner_book,Trading and Exchanges: Market Microstructure for Practitioners,Larry Harris,2003,book_reference_no_open_url,medium,market-microstructure interpretation,"Explains why transaction prices and aggregate volume do not fully reveal liquidity or signed order flow.",Book framework; no V5 threshold or local performance claim,data-limit interpretation
V5I_PRACT_003,C,local_book_card,Active Portfolio Management Information Ratio Card,V5c WeRead paraphrase archive,2026-08-01,../v5c_defense_profit_taking/04_theory_cards.csv,medium,overlay governance,"Any departure from a baseline should be evaluated with active risk and execution cost, not return alone.",Paraphrased book material is not a direct empirical test,metric and governance support
