source_id,source_type,title,provider,publication_date_or_fetch_date,source_path_or_url,use_in_v5,evidence_status,notes
fxbaogao_search_cement_price_cost_cashflow,research_report_api_search,水泥 行业 价格 库存 产量 煤炭 成本 现金流 分红,fxbaogao,2026-07-21,research_reports/fxbaogao_v5a9_cement_state/cement_price_cost_cashflow/collection_manifest.json,candidate_discovery,screening_only_api_noise,Search output was noisy and not usable as formal factor evidence without PDF review.
fxbaogao_search_cement_supply_demand,research_report_api_search,水泥 熟料 错峰生产 产能利用率 供给 需求,fxbaogao,2026-07-21,research_reports/fxbaogao_v5a9_cement_state/cement_supply_demand/collection_manifest.json,candidate_discovery,screening_only,Used to identify state variables for cement cycle review.
fxbaogao_search_cement_dividend_fcf_lowvol,research_report_api_search,建筑材料 水泥 红利 自由现金流 低波,fxbaogao,2026-07-21,research_reports/fxbaogao_v5a9_cement_state/cement_dividend_fcf_lowvol/collection_manifest.json,candidate_discovery,screening_only,Located water-cement and FCF/dividend framework candidates.
fxbaogao_report_5264841,research_report_paragraphs,水泥行业深度国内篇：优质现金流资产，反内卷趋势,fxbaogao,2026-01-26,https://www.fxbaogao.com/view?id=5264841,research_hypothesis,paragraph_screened_pdf_review_required,Supports cement cash-flow and anti-involution supply-side hypothesis; not formal PIT evidence.
fxbaogao_report_5418426,research_report_paragraphs,水泥行业产能管控政策演变、未来方向及企业应对策略,fxbaogao,2026-05-08,https://www.fxbaogao.com/view?id=5418426,research_hypothesis,paragraph_screened_pdf_review_required,Supports capacity-control and off-peak production state hypothesis; not formal PIT evidence.
fxbaogao_report_5313634,research_report_paragraphs,建筑材料行业：双碳政策强化建材供给逻辑，盈利有望底部改善,fxbaogao,2026-03-12,https://www.fxbaogao.com/view?id=5313634,research_hypothesis,paragraph_screened_pdf_review_required,Supports supply-side and profitability-bottom hypothesis; not formal PIT evidence.
fxbaogao_report_5385386,research_report_paragraphs,水泥行业深度海外篇(一)：海外需求高景气，中资优势产能海外扩张迅速,fxbaogao,2026-04-18,https://www.fxbaogao.com/view?id=5385386,research_context,paragraph_screened_pdf_review_required,Useful for overseas exposure context only.
akshare_construction_price_index,public_macro_proxy,macro_china_construction_price_index,akshare/Eastmoney,2026-07-21,数据库/processed/cement_external_state_v5a9/cement_external_state.csv,research_state_diagnostic,proxy_not_formal,Proxy for cement/building-material price state; formal restart requires reviewed cement spot or official index history.
akshare_real_estate,public_macro_proxy,macro_china_real_estate,akshare/Eastmoney,2026-07-21,数据库/processed/cement_external_state_v5a9/cement_external_state.csv,research_state_diagnostic,proxy_not_formal,Proxy for downstream real-estate demand state.
akshare_fixed_asset_investment,public_macro_proxy,macro_china_gdzctz,akshare/Eastmoney,2026-07-21,数据库/processed/cement_external_state_v5a9/cement_external_state.csv,research_state_diagnostic,proxy_not_formal,Proxy for fixed-asset/infrastructure demand state.
akshare_commodity_price,public_macro_proxy,macro_china_qyspjg,akshare/Eastmoney,2026-07-21,数据库/processed/cement_external_state_v5a9/cement_external_state.csv,research_state_diagnostic,proxy_not_formal,Proxy for energy/mineral cost pressure.
