sleeve_id,standalone_volatility,contribution_return_volatility,standalone_vol_risk_share,contribution_vol_risk_share,covariance_portfolio_variance_contribution,average_weight,variant_id,drawdown_pnl_contribution,drawdown_pnl_share
bank,0.15194294335877673,0.037850184099958925,0.19414004871085397,0.1953755172411058,0.17533308545424248,0.2461988078508241,equal_reference,-11610.938,0.05129353600991517
utilities_electricity,0.23530832056618378,0.05919074149068747,0.30065739024759636,0.3055314527423975,0.30180761989224214,0.2462770708385946,equal_reference,-89617.5538,0.39590265859319973
highway_infrastructure,0.19163522430711924,0.04543578848347815,0.24485554221396835,0.23453097751845955,0.24622958834545283,0.23618492136383068,equal_reference,-69398.2347,0.30657995509139696
port_rail_infrastructure,0.2037595673742816,0.051253721726843254,0.2603470188275813,0.2645620524980371,0.27662970630806255,0.2474780970360863,equal_reference,-55735.8701,0.24622385030548816
bank,0.15211987298991125,0.04639650346095875,0.1943714629488774,0.23827332932922943,0.22341160196823218,0.2940893063622741,erc_fixed_covariance,-11610.938,0.05129353600991517
utilities_electricity,0.23515930350525316,0.05554707616945601,0.3004752564537478,0.28526690129866705,0.27597175331187834,0.2315092427156113,erc_fixed_covariance,-89617.5538,0.39590265859319973
highway_infrastructure,0.19188890168654238,0.04551824754213981,0.2451864165501911,0.23376296871646945,0.24694368936327987,0.23505507411925528,erc_fixed_covariance,-69398.2347,0.30657995509139696
port_rail_infrastructure,0.20345644232170199,0.047257840326829316,0.25996686404718367,0.24269680065563407,0.2536729553566096,0.22568946212192806,erc_fixed_covariance,-55735.8701,0.24622385030548816
bank,0.15200112069271995,0.038630110199209595,0.1941805328770505,0.1975467026154692,0.17810548271507384,0.25084978723123486,volatility_cap_reducer,-11610.938,0.05129353600991517
utilities_electricity,0.2351210819509584,0.056806589013607606,0.3003657918822992,0.290497601187271,0.2821519622378955,0.23756671412432356,volatility_cap_reducer,-89617.5538,0.39590265859319973
highway_infrastructure,0.19194053530764163,0.04850453910927028,0.2452028988792138,0.24804256869853467,0.26267314783959944,0.25088583227940753,volatility_cap_reducer,-69398.2347,0.30657995509139696
port_rail_infrastructure,0.20371975028586425,0.05160801503297513,0.2602507763614365,0.26391312749872503,0.2770694072074312,0.24700703511497962,volatility_cap_reducer,-55735.8701,0.24622385030548816
