trade_date,spec_id,status,assigned_total_weight,max_abs_change_vs_previous,bank_target_weight,utilities_electricity_target_weight,highway_infrastructure_target_weight,port_rail_infrastructure_target_weight,flagged_sleeve
2021-05-06,V5C_RB_001,insufficient_prior_history_use_equal,1.0,0.0,0.25,0.25,0.25,0.25,
2021-07-01,V5C_RB_001,insufficient_prior_history_use_equal,1.0,0.0,0.25,0.25,0.25,0.25,
2021-10-08,V5C_RB_001,insufficient_prior_history_use_equal,1.0,0.0,0.25,0.25,0.25,0.25,
2022-01-04,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.3,0.2030851893114741,0.2516242969356973,0.2452905137528286,
2022-04-01,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.35,0.19825080866712005,0.23703290723674877,0.21471628409613117,
2022-07-01,V5C_RB_001,erc_fixed_covariance,1.0,0.020710587688671317,0.35,0.21774845393912906,0.23824584965341114,0.19400569640745985,
2022-10-10,V5C_RB_001,erc_fixed_covariance,1.0,0.02802395529086349,0.35,0.2091057051094203,0.21886464319225635,0.22202965169832334,
2023-01-03,V5C_RB_001,erc_fixed_covariance,1.0,0.02290916605048282,0.35,0.2215396607767457,0.19595547714177353,0.23250486208148088,
2023-04-03,V5C_RB_001,erc_fixed_covariance,1.0,0.03765403988299987,0.35,0.2496111282104044,0.20553804959111457,0.19485082219848102,
2023-07-03,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.3,0.2912361048192543,0.1858142155346636,0.22294967964608212,
2023-10-09,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999993,0.25000000000000006,0.30533909605426174,0.20199482072733296,0.24266608321840533,
2024-01-02,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.27047243679152827,0.25533909605426175,0.2196920591250863,0.25449640802912366,
2024-04-01,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.32047243679152826,0.20616354683270205,0.23065684480839144,0.24270717156737828,
2024-07-01,V5C_RB_001,erc_fixed_covariance,1.0,0.02087573949558208,0.34134817628711034,0.19849630330276374,0.22279254205326343,0.23736297835686251,
2024-10-08,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.29134817628711035,0.22416586266562163,0.23521213575995628,0.24927382528731176,
2025-01-02,V5C_RB_001,erc_fixed_covariance,1.0,0.029414014503606978,0.26193416178350337,0.24228924884472205,0.25424856651517386,0.2415280228566008,
2025-04-01,V5C_RB_001,erc_fixed_covariance,1.0,0.012792554158374936,0.2747267159418783,0.2379974528686366,0.2565681402005403,0.2307076909889448,
2025-07-01,V5C_RB_001,erc_fixed_covariance,1.0,0.049476457087336834,0.2892308483416125,0.25888551424925577,0.27065240350752384,0.18123123390160797,
2025-10-09,V5C_RB_001,erc_fixed_covariance,1.0,0.04999999999999999,0.2680018264752077,0.23759316015638887,0.32065240350752383,0.17375260986087956,
2026-01-05,V5C_RB_001,erc_fixed_covariance,1.0,0.05000000000000002,0.2933909211318695,0.20643102493840979,0.2764254440688411,0.22375260986087958,
2026-04-01,V5C_RB_001,erc_fixed_covariance,1.0,0.040303369330047856,0.2908692184123415,0.21285388076169082,0.23612207473879326,0.2601548260871745,
2021-05-06,V5C_RB_002,insufficient_prior_history_use_equal,1.0,0.0,0.25,0.25,0.25,0.25,
2021-07-01,V5C_RB_002,insufficient_prior_history_use_equal,1.0,0.0,0.25,0.25,0.25,0.25,
2021-10-08,V5C_RB_002,insufficient_prior_history_use_equal,1.0,0.0,0.25,0.25,0.25,0.25,
2022-01-04,V5C_RB_002,vol_cap_reducer_triggered,1.0,0.03,0.2650423550240062,0.22,0.2573306506448772,0.25762699433111663,utilities_electricity
2022-04-01,V5C_RB_002,vol_cap_reducer_triggered,1.0,0.0005910827472111468,0.2648612234717623,0.22,0.25792173339208835,0.25721704313614935,utilities_electricity
2022-07-01,V5C_RB_002,vol_cap_not_triggered,1.0,0.03,0.25,0.25,0.25,0.25,
2022-10-10,V5C_RB_002,vol_cap_not_triggered,1.0,0.0,0.25,0.25,0.25,0.25,
2023-01-03,V5C_RB_002,vol_cap_not_triggered,1.0,0.0,0.25,0.25,0.25,0.25,
2023-04-03,V5C_RB_002,vol_cap_not_triggered,1.0,0.0,0.25,0.25,0.25,0.25,
2023-07-03,V5C_RB_002,vol_cap_not_triggered,1.0,0.0,0.25,0.25,0.25,0.25,
2023-10-09,V5C_RB_002,vol_cap_not_triggered,1.0,0.0,0.25,0.25,0.25,0.25,
2024-01-02,V5C_RB_002,vol_cap_reducer_triggered,1.0,0.03,0.26012991241645383,0.22,0.2588024669313734,0.26106762065217276,utilities_electricity
