trade_date,official_strategy_return,sum_sleeve_contribution_return,reconstructed_portfolio_value,official_portfolio_value,value_gap,cash,cash_weight,bank_pnl,bank_contribution_return,bank_local_return,bank_end_value,bank_end_weight,utilities_electricity_pnl,utilities_electricity_contribution_return,utilities_electricity_local_return,utilities_electricity_end_value,utilities_electricity_end_weight,highway_infrastructure_pnl,highway_infrastructure_contribution_return,highway_infrastructure_local_return,highway_infrastructure_end_value,highway_infrastructure_end_weight,port_rail_infrastructure_pnl,port_rail_infrastructure_contribution_return,port_rail_infrastructure_local_return,port_rail_infrastructure_end_value,port_rail_infrastructure_end_weight,return_gap
2021-05-06,0.008842566649999828,0.00884256665,2017685.1332999999,2017685.1332999999,0.0,16516.133299999972,0.008185684191956758,2297.3512,0.0011486756,,497942.0,0.24678875399433467,5758.4547,0.00287922735,,501058.0,0.24833309802927517,5595.0062,0.0027975031,,502390.0,0.24899326049863998,4034.3212,0.0020171606,,499779.0,0.24769920328579348,1.717376241217039e-16
2021-05-07,0.009427635504697829,0.009427635504697805,2036707.1332999999,2036707.1332999999,0.0,16516.133299999972,0.00810923329621746,4801.0,0.002379459471036387,0.009641685176185178,502743.0,0.2468410856819775,6300.0,0.0031223900578065482,0.012573394696821526,507358.0,0.24910699810725706,3616.0,0.0017921527696870602,0.007197595493540875,506006.0,0.24844318150942868,4305.0,0.0021336332061678083,0.00861380730282785,504084.0,0.2474995014051194,-2.42861286636753e-17
2021-05-10,0.0019752471694256535,0.001975247169425721,2040730.1332999999,2040730.1332999999,0.0,16516.133299999972,0.008093247132727079,29.0,1.4238669627975619e-05,5.768354805536825e-05,502772.0,0.24636868530332492,1994.0,0.0009790312840752891,0.003930163710831405,509352.0,0.24959302148214133,-62.0,-3.044129368739615e-05,-0.00012252819136531978,505944.0,0.24792303095062063,2062.0,0.0010124185094098526,0.004090588076590409,506146.0,0.2480220151311861,6.765421556309548e-17
2021-05-11,0.0053059440948668435,0.005305944094866863,2051558.1332999999,2051558.1332999999,0.0,16516.133299999972,0.008050531462851222,1257.0,0.0006159560147070231,0.0025001392281193066,504029.0,0.2456810712886076,1533.0,0.0007512017267667991,0.003009706450548933,510885.0,0.24902292150904073,4109.0,0.002013495039324708,0.008121452176525466,510053.0,0.2486173760913919,3929.0,0.0019252913140683325,0.0077625823379025025,510075.0,0.24862809964810859,1.9081958235744878e-17
2021-05-12,0.003527075290993942,0.0035270752909939,2058794.1332999999,2058794.1332999999,0.0,16516.133299999972,0.008022236430957083,2689.0,0.0013107110914155056,0.005335010485507778,506718.0,0.2461236856099798,-972.0,-0.00047378623311858365,-0.0019025808156434422,509913.0,0.24767556491074252,826.0,0.0004026208112715536,0.0016194395484390837,510879.0,0.24814477161012805,4693.0,0.002287529621425425,0.009200607753761702,514768.0,0.2500337414381926,-4.163336342344337e-17
2021-05-13,-0.006001571405391037,-0.006001571405390987,2046438.1332999999,2046438.1332999999,0.0,16516.133299999972,0.008070673152169399,-869.0,-0.0004220917409586248,-0.001714957826641248,505849.0,0.24718509285413345,-5460.0,-0.002652037866092165,-0.010707708962117066,504453.0,0.24650293199264242,-1833.0,-0.0008903269979023697,-0.0035879337377343755,509046.0,0.24874731941157385,-4194.0,-0.002037114800437828,-0.008147359587231529,510574.0,0.2494939825894809,5.0306980803327406e-17
2021-05-14,0.006585588775296802,0.00658558877529689,2059915.1332999999,2059915.1332999999,0.0,16516.133299999972,0.008017870752539694,3928.0,0.001919432567289915,0.00776516312180117,509777.0,0.24747475843013655,3848.0,0.001880340254310487,0.0076280644579376075,508301.0,0.24675822405639494,2564.0,0.0012529086309906675,0.005036872895573288,511610.0,0.24836460091460022,3137.0,0.0015329073227058206,0.006144065306889893,513711.0,0.24938454584632863,8.760353553682876e-17
2021-05-17,-0.00373025076411293,-0.0037302507641128755,2052231.1332999999,2052231.1332999999,0.0,16516.133299999972,0.008047891405604949,-1967.0,-0.0009548937080960471,-0.003858549914962817,507810.0,0.2474428887468628,107.0,5.194388752733962e-05,0.00021050519278931185,508408.0,0.24773427892718736,-3170.0,-0.0015388983501090337,-0.006196125955317527,508440.0,0.24774987171275656,-2654.0,-0.0012884025934351343,-0.005166328928132744,511057.0,0.24902506920758838,5.4643789493269423e-17
2021-05-18,0.0002801828656966432,0.0002801828656967096,2052806.1332999999,2052806.1332999999,0.0,20772.133299999972,0.010118896744821984,-1549.0,-0.0007547882764594837,-0.0030503534786632796,506261.0,0.2466190020516732,2380.0,0.0011597134267098588,0.0046812796022092495,510788.0,0.24882427605517718,-603.0,-0.00029382655306976676,-0.0011859806466839745,507837.0,0.2473867316362816,347.0,0.00016908426851610126,0.0006789849273173051,507148.0,0.24705109351204607,6.640738306473715e-17
2021-05-19,-0.00813179565727673,-0.008131795657276742,2036113.1332999999,2036113.1332999999,0.0,20772.133299999972,0.01020185615439445,-3580.0,-0.0017439542594531083,-0.007071451286984382,502681.0,0.24688264702918905,-940.0,-0.00045790977762176586,-0.0018402938205282818,509848.0,0.25040258896305606,-5469.0,-0.002664158057248338,-0.01076920350427401,502368.0,0.2467289227616712,-6704.0,-0.00326577356295353,-0.013219020877534763,500444.0,0.24578398509168933,-1.214306433183765e-17
2021-05-20,-0.0029001335453445742,-0.002900133545344585,2030208.1332999999,2030208.1332999999,0.0,20772.133299999972,0.010231528954736245,2340.0,0.0011492485175455256,0.004655039677250583,505021.0,0.2487533133753701,-1794.0,-0.0008810905301182363,-0.0035186957681505077,508054.0,0.25024724887402755,-2242.0,-0.001101117596725243,-0.004462863876680044,500126.0,0.2463422305313449,-4209.0,-0.002067173936046631,-0.00841053144807411,496235.0,0.24442567826452122,-1.0842021724855044e-17
2021-05-21,0.002157906831394163,0.002157906831394133,2034589.1332999999,2034589.1332999999,0.0,20772.133299999972,0.01020949780966766,-3081.0,-0.0015175783947786632,-0.0061007364050207815,501940.0,0.24670337208863338,4141.0,0.0020396923507881998,0.008150708389265708,512195.0,0.2517437017710037,1451.0,0.0007147050473300358,0.002901268880242179,501577.0,0.24652495768837007,1870.0,0.0009210878280545603,0.0037683758703033845,498105.0,0.24481847064232526,-2.992397996059992e-17
2021-05-24,0.0032522536819350467,0.0032522536819350662,2041206.1332999999,2041206.1332999999,0.0,21798.133299999972,0.01067904556251706,691.0,0.000339626310143136,0.0013766585647686975,502631.0,0.24624215643885064,953.0,0.00046839923815688656,0.0018606194906236881,512122.0,0.2508918583210687,3498.0,0.0017192660389011428,0.00697400399141109,505075.0,0.2474394877422055,1475.0,0.000724962094733901,0.0029612230353038014,499580.0,0.24474745193535816,1.951563910473908e-17
2021-05-25,0.003835967309848032,0.003835967309847981,2049036.1332999999,2049036.1332999999,0.0,21798.133299999972,0.01063823763073118,5744.0,0.0028140225067390555,0.01142786656612903,508375.0,0.24810445835391653,483.0,0.0002366248034044157,0.0009431346436981813,512605.0,0.2501688436184104,-419.0,-0.00020527079218726744,-0.000829579765381379,504656.0,0.246289458637923,2022.0,0.0009905907918917776,0.00404739981584531,501602.0,0.24479900175901892,-5.074066167232161e-17
2021-05-26,0.0021883459872318323,0.002188345987231791,2053520.1332999999,2053520.1332999999,0.0,21798.133299999972,0.010615008319869963,1202.0,0.0005866172784684686,0.00236439636095402,509577.0,0.24814804186073963,2477.0,0.0012088610638655544,0.004832180723949239,515082.0,0.250828804474522,1524.0,0.0007437643364275757,0.0030198788877968358,506180.0,0.24649380923603142,-719.0,-0.0003508966915298077,-0.0014334073628095583,500883.0,0.24391433610883703,-4.119968255444917e-17
2021-05-27,0.000344773829347389,0.0003447738293474856,2054228.1332999999,2054228.1332999999,0.0,21798.133299999972,0.010611349804163435,-1078.0,-0.0005249522429895331,-0.0021154800942742706,508499.0,0.24753774508147033,-2414.0,-0.0011755424068429804,-0.0046866324196923985,512668.0,0.2495672178223108,2768.0,0.0013479293215167233,0.005468410446876605,508948.0,0.24775631866281775,1432.0,0.0006973391576632759,0.002858951092370873,502315.0,0.24452736862923774,9.660241356845845e-17
