trade_date,sleeve_id,previous_sleeve_value,end_sleeve_value,buy_value,sell_value,commission,dividend_cash,stock_action_value,pnl,contribution_return,local_return
2021-05-06,bank,0.0,497942.0,495496.0,0.0,148.64879999999997,0.0,0.0,2297.3512,0.0011486756,
2021-05-06,utilities_electricity,0.0,501058.0,495151.0,0.0,148.5453,0.0,0.0,5758.4547,0.00287922735,
2021-05-06,highway_infrastructure,0.0,502390.0,496646.0,0.0,148.99379999999996,0.0,0.0,5595.0062,0.0027975031,
2021-05-06,port_rail_infrastructure,0.0,499779.0,495596.0,0.0,148.6788,0.0,0.0,4034.3212,0.0020171606,
2021-05-07,bank,497942.0,502743.0,0.0,0.0,0.0,0.0,0.0,4801.0,0.002379459471036387,0.009641685176185178
2021-05-07,utilities_electricity,501058.0,507358.0,0.0,0.0,0.0,0.0,0.0,6300.0,0.0031223900578065482,0.012573394696821526
2021-05-07,highway_infrastructure,502390.0,506006.0,0.0,0.0,0.0,0.0,0.0,3616.0,0.0017921527696870602,0.007197595493540875
2021-05-07,port_rail_infrastructure,499779.0,504084.0,0.0,0.0,0.0,0.0,0.0,4305.0,0.0021336332061678083,0.00861380730282785
2021-05-10,bank,502743.0,502772.0,0.0,0.0,0.0,0.0,0.0,29.0,1.4238669627975619e-05,5.768354805536825e-05
2021-05-10,utilities_electricity,507358.0,509352.0,0.0,0.0,0.0,0.0,0.0,1994.0,0.0009790312840752891,0.003930163710831405
2021-05-10,highway_infrastructure,506006.0,505944.0,0.0,0.0,0.0,0.0,0.0,-62.0,-3.044129368739615e-05,-0.00012252819136531978
2021-05-10,port_rail_infrastructure,504084.0,506146.0,0.0,0.0,0.0,0.0,0.0,2062.0,0.0010124185094098526,0.004090588076590409
2021-05-11,bank,502772.0,504029.0,0.0,0.0,0.0,0.0,0.0,1257.0,0.0006159560147070231,0.0025001392281193066
2021-05-11,utilities_electricity,509352.0,510885.0,0.0,0.0,0.0,0.0,0.0,1533.0,0.0007512017267667991,0.003009706450548933
2021-05-11,highway_infrastructure,505944.0,510053.0,0.0,0.0,0.0,0.0,0.0,4109.0,0.002013495039324708,0.008121452176525466
2021-05-11,port_rail_infrastructure,506146.0,510075.0,0.0,0.0,0.0,0.0,0.0,3929.0,0.0019252913140683325,0.0077625823379025025
2021-05-12,bank,504029.0,506718.0,0.0,0.0,0.0,0.0,0.0,2689.0,0.0013107110914155056,0.005335010485507778
2021-05-12,utilities_electricity,510885.0,509913.0,0.0,0.0,0.0,0.0,0.0,-972.0,-0.00047378623311858365,-0.0019025808156434422
2021-05-12,highway_infrastructure,510053.0,510879.0,0.0,0.0,0.0,0.0,0.0,826.0,0.0004026208112715536,0.0016194395484390837
2021-05-12,port_rail_infrastructure,510075.0,514768.0,0.0,0.0,0.0,0.0,0.0,4693.0,0.002287529621425425,0.009200607753761702
2021-05-13,bank,506718.0,505849.0,0.0,0.0,0.0,0.0,0.0,-869.0,-0.0004220917409586248,-0.001714957826641248
2021-05-13,utilities_electricity,509913.0,504453.0,0.0,0.0,0.0,0.0,0.0,-5460.0,-0.002652037866092165,-0.010707708962117066
2021-05-13,highway_infrastructure,510879.0,509046.0,0.0,0.0,0.0,0.0,0.0,-1833.0,-0.0008903269979023697,-0.0035879337377343755
2021-05-13,port_rail_infrastructure,514768.0,510574.0,0.0,0.0,0.0,0.0,0.0,-4194.0,-0.002037114800437828,-0.008147359587231529
2021-05-14,bank,505849.0,509777.0,0.0,0.0,0.0,0.0,0.0,3928.0,0.001919432567289915,0.00776516312180117
2021-05-14,utilities_electricity,504453.0,508301.0,0.0,0.0,0.0,0.0,0.0,3848.0,0.001880340254310487,0.0076280644579376075
2021-05-14,highway_infrastructure,509046.0,511610.0,0.0,0.0,0.0,0.0,0.0,2564.0,0.0012529086309906675,0.005036872895573288
2021-05-14,port_rail_infrastructure,510574.0,513711.0,0.0,0.0,0.0,0.0,0.0,3137.0,0.0015329073227058206,0.006144065306889893
2021-05-17,bank,509777.0,507810.0,0.0,0.0,0.0,0.0,0.0,-1967.0,-0.0009548937080960471,-0.003858549914962817
2021-05-17,utilities_electricity,508301.0,508408.0,0.0,0.0,0.0,0.0,0.0,107.0,5.194388752733962e-05,0.00021050519278931185
2021-05-17,highway_infrastructure,511610.0,508440.0,0.0,0.0,0.0,0.0,0.0,-3170.0,-0.0015388983501090337,-0.006196125955317527
2021-05-17,port_rail_infrastructure,513711.0,511057.0,0.0,0.0,0.0,0.0,0.0,-2654.0,-0.0012884025934351343,-0.005166328928132744
2021-05-18,bank,507810.0,506261.0,0.0,0.0,0.0,0.0,0.0,-1549.0,-0.0007547882764594837,-0.0030503534786632796
2021-05-18,utilities_electricity,508408.0,510788.0,0.0,0.0,0.0,0.0,0.0,2380.0,0.0011597134267098588,0.0046812796022092495
2021-05-18,highway_infrastructure,508440.0,507837.0,0.0,0.0,0.0,0.0,0.0,-603.0,-0.00029382655306976676,-0.0011859806466839745
2021-05-18,port_rail_infrastructure,511057.0,507148.0,0.0,0.0,0.0,4256.0,0.0,347.0,0.00016908426851610126,0.0006789849273173051
2021-05-19,bank,506261.0,502681.0,0.0,0.0,0.0,0.0,0.0,-3580.0,-0.0017439542594531083,-0.007071451286984382
2021-05-19,utilities_electricity,510788.0,509848.0,0.0,0.0,0.0,0.0,0.0,-940.0,-0.00045790977762176586,-0.0018402938205282818
2021-05-19,highway_infrastructure,507837.0,502368.0,0.0,0.0,0.0,0.0,0.0,-5469.0,-0.002664158057248338,-0.01076920350427401
